Date,Open,High,Low,Close,Volume,OpenInt
1986-05-29,3.6107,3.6389,3.6107,3.6295,16691365,0
1986-05-30,3.6107,3.6578,3.6107,3.6578,6895475,0
1986-06-02,3.6578,3.6768,3.6295,3.6485,333487,0
1986-06-03,3.6389,3.6768,3.6295,3.6768,163776,0
1986-06-04,3.6485,3.6768,3.6204,3.6204,203654,0
1986-06-05,3.6107,3.6485,3.5921,3.6485,89103,0
1986-06-06,3.6578,3.6768,3.6295,3.6485,389491,0
1986-06-09,3.6578,3.6578,3.5637,3.5729,527807,0
1986-06-10,3.5921,3.5921,3.5544,3.5729,150198,0
1986-06-11,3.5729,3.5729,3.5351,3.5544,337729,0
1986-06-12,3.5544,3.5544,3.4318,3.479,369975,0
1986-06-13,3.4978,3.5921,3.4978,3.5729,638974,0
1986-06-16,3.5729,3.5921,3.5544,3.5825,626245,0
1986-06-17,3.5637,3.6204,3.5637,3.6107,312274,0
1986-06-18,3.6295,3.6295,3.5825,3.6295,110314,0
1986-06-19,3.6107,3.6204,3.5825,3.6107,409858,0
1986-06-20,3.5921,3.6295,3.5637,3.6295,572784,0
1986-06-23,3.6107,3.6107,3.5544,3.5544,155288,0
1986-06-24,3.5544,3.5544,3.5163,3.5351,259663,0
1986-06-25,3.5163,3.6107,3.5163,3.5921,710255,0
1986-06-26,3.6107,3.6204,3.5351,3.5825,151045,0
1986-06-27,3.5921,3.5921,3.5163,3.5825,539690,0
1986-06-30,3.5921,3.5921,3.5825,3.5825,96736,0
1986-07-01,3.5921,3.6295,3.5825,3.6295,600785,0
1986-07-02,3.6107,3.6107,3.5351,3.5544,1119262,0
1986-07-03,3.5351,3.5351,3.5068,3.5351,362341,0
1986-07-07,3.5351,3.5351,3.4127,3.4408,356398,0
1986-07-08,3.4318,3.4318,3.3184,3.3749,1215154,0
1986-07-09,3.394,3.394,3.3376,3.3749,487927,0
1986-07-10,3.394,3.4224,3.3184,3.4127,274089,0
1986-07-11,3.4318,3.4408,3.4127,3.4408,223174,0
1986-07-14,3.4318,3.4318,3.3467,3.356,229962,0
1986-07-15,3.3749,3.3749,3.2055,3.2242,853660,0
1986-07-16,3.2337,3.262,3.2149,3.262,401374,0
1986-07-17,3.2807,3.3092,3.262,3.262,168014,0
1986-07-18,3.243,3.243,3.1866,3.2337,367433,0
1986-07-21,3.2149,3.2149,3.1771,3.1866,331795,0
1986-07-22,3.2055,3.243,3.1866,3.243,735710,0
1986-07-23,3.2242,3.262,3.2055,3.2055,539690,0
1986-07-24,3.1866,3.1866,3.1017,3.1394,1853276,0
