Date,Open,High,Low,Close,Volume,OpenInt
1985-04-19,0.13783,0.13783,0.13783,0.13783,16185594,0
1985-04-22,0.13783,0.13783,0.13783,0.13783,3888946,0
1985-04-23,0.13783,0.13783,0.13783,0.13783,7088069,0
1985-04-24,0.13783,0.13783,0.13783,0.13783,2969194,0
1985-04-25,0.12962,0.12962,0.12149,0.12149,7967830,0
1985-04-26,0.12149,0.12149,0.12149,0.12149,3469052,0
1985-04-29,0.12149,0.12149,0.12149,0.12149,3139143,0
1985-04-30,0.12149,0.12149,0.12149,0.12149,3609016,0
1985-05-01,0.12149,0.12149,0.11335,0.11335,6328280,0
1985-05-02,0.11335,0.11335,0.11335,0.11335,2359359,0
1985-05-03,0.12149,0.12149,0.12149,0.12149,2229392,0
1985-05-06,0.12149,0.12149,0.12149,0.12149,419884,0
1985-05-07,0.12149,0.12149,0.12149,0.12149,2699265,0
1985-05-08,0.12149,0.12149,0.12149,0.12149,589842,0
1985-05-09,0.12149,0.13783,0.12149,0.12149,2159410,0
1985-05-10,0.12962,0.13783,0.12962,0.12962,3419067,0
1985-05-13,0.12962,0.13783,0.12962,0.12962,1839499,0
1985-05-14,0.12962,0.13783,0.12962,0.12962,839774,0
1985-05-15,0.12962,0.13783,0.12962,0.12962,2159410,0
1985-05-16,0.13783,0.13783,0.13783,0.13783,4298829,0
1985-05-17,0.14589,0.14589,0.14589,0.14589,4298829,0
1985-05-20,0.14589,0.14589,0.13783,0.13783,2529313,0
1985-05-21,0.13783,0.13783,0.13783,0.13783,2499322,0
1985-05-22,0.13783,0.14589,0.13783,0.13783,3998912,0
1985-05-23,0.13783,0.13783,0.13783,0.13783,3918934,0
1985-05-24,0.13783,0.13783,0.13783,0.13783,1519586,0
1985-05-28,0.13783,0.13783,0.13783,0.13783,1109698,0
1985-05-29,0.13783,0.13783,0.13783,0.13783,1019724,0
1985-05-30,0.13783,0.14589,0.13783,0.13783,2059440,0
1985-05-31,0.14589,0.14589,0.14589,0.14589,1949470,0
1985-06-03,0.14589,0.15392,0.14589,0.14589,2059440,0
1985-06-04,0.14589,0.15392,0.14589,0.14589,2499322,0
1985-06-05,0.14589,0.15392,0.14589,0.14589,1369628,0
1985-06-06,0.15392,0.15392,0.15392,0.15392,2419341,0
1985-06-07,0.15392,0.15392,0.15392,0.15392,1029721,0
1985-06-10,0.15392,0.15392,0.15392,0.15392,939748,0
1985-06-11,0.15392,0.15392,0.15392,0.15392,3339093,0
1985-06-12,0.15392,0.15392,0.15392,0.15392,2269381,0
1985-06-13,0.14589,0.14589,0.13783,0.13783,2189403,0
1985-06-14,0.13783,0.14589,0.13783,0.13783,219942,0
1985-06-17,0.13783,0.14589,0.13783,0.13783,1469599,0
1985-06-18,0.13783,0.14589,0.13783,0.13783,1079709,0
1985-06-19,0.13783,0.14589,0.13783,0.13783,589842,0
1985-06-20,0.13783,0.14589,0.13783,0.13783,1889486,0
1985-06-21,0.13783,0.13783,0.12962,0.12962,2519317,0
1985-06-24,0.12962,0.13783,0.12149,0.12149,689811,0
1985-06-25,0.13783,0.13783,0.13783,0.13783,2229392,0
1985-06-26,0.13783,0.13783,0.13783,0.13783,1389624,0
1985-06-27,0.13783,0.13783,0.12962,0.12962,829776,0
1985-06-28,0.12962,0.13783,0.12149,0.12149,1419614,0
1985-07-01,0.12149,0.12962,0.12149,0.12149,999727,0
1985-07-02,0.12149,0.12962,0.12149,0.12149,1229663,0
1985-07-03,0.12962,0.13783,0.12962,0.12962,2419341,0
1985-07-05,0.12962,0.13783,0.12962,0.12962,689811,0
1985-07-08,0.13783,0.13783,0.13783,0.13783,1659549,0
1985-07-09,0.13783,0.13783,0.13783,0.13783,2199400,0
1985-07-10,0.13783,0.13783,0.12962,0.12962,499863,0
1985-07-11,0.13783,0.14589,0.13783,0.13783,3768973,0
1985-07-12,0.14589,0.15392,0.14589,0.14589,3139143,0
1985-07-15,0.14589,0.15392,0.14589,0.14589,1109698,0
1985-07-16,0.15392,0.15392,0.15392,0.15392,6158322,0
1985-07-17,0.15392,0.15392,0.15392,0.15392,4128871,0
1985-07-18,0.15392,0.15392,0.15392,0.15392,6518227,0
1985-07-19,0.15392,0.15392,0.14589,0.14589,1279650,0
1985-07-22,0.14589,0.15392,0.14589,0.14589,3299102,0
1985-07-23,0.14589,0.15392,0.14589,0.14589,2359359,0
1985-07-24,0.14589,0.15392,0.14589,0.14589,1279650,0
1985-07-25,0.14589,0.15392,0.14589,0.14589,809780,0
1985-07-26,0.14589,0.15392,0.14589,0.14589,159955,0
1985-07-29,0.14589,0.15392,0.14589,0.14589,449877,0
1985-07-30,0.14589,0.15392,0.14589,0.14589,2219396,0
1985-07-31,0.14589,0.15392,0.14589,0.14589,1089704,0
1985-08-01,0.15392,0.15392,0.15392,0.15392,369902,0
1985-08-02,0.15392,0.15392,0.15392,0.15392,279926,0
1985-08-05,0.15392,0.15392,0.14589,0.14589,329909,0
1985-08-06,0.14589,0.15392,0.14589,0.14589,949742,0
1985-08-07,0.14589,0.15392,0.13783,0.13783,1049713,0
1985-08-08,0.14589,0.14589,0.14589,0.14589,729801,0
1985-08-09,0.14589,0.15392,0.14589,0.14589,1369628,0
1985-08-12,0.14589,0.15392,0.14589,0.14589,359905,0
1985-08-13,0.14589,0.15392,0.14589,0.14589,659821,0
1985-08-14,0.15392,0.15392,0.15392,0.15392,1019724,0
1985-08-15,0.15392,0.15392,0.15392,0.15392,1299645,0
1985-08-16,0.15392,0.15392,0.15392,0.15392,1329637,0
1985-08-19,0.15392,0.15392,0.15392,0.15392,699809,0
1985-08-20,0.15392,0.15392,0.15392,0.15392,1159683,0
1985-08-21,0.15392,0.15392,0.15392,0.15392,969738,0
1985-08-22,0.15392,0.15392,0.15392,0.15392,1889486,0
1985-08-23,0.15392,0.15392,0.15392,0.15392,779788,0
1985-08-26,0.15392,0.15392,0.15392,0.15392,139959,0
1985-08-27,0.15392,0.15392,0.15392,0.15392,2199400,0
1985-08-28,0.17011,0.17011,0.17011,0.17011,3309102,0
1985-08-29,0.17011,0.17011,0.17011,0.17011,2269381,0
1985-08-30,0.17011,0.17823,0.17011,0.17011,2469329,0
1985-09-03,0.17823,0.18635,0.17823,0.17823,2699265,0
1985-09-04,0.17823,0.17823,0.17011,0.17011,4668728,0
1985-09-05,0.17011,0.17823,0.17011,0.17011,1159683,0
1985-09-06,0.17823,0.18635,0.17823,0.17823,2409345,0
1985-09-09,0.17823,0.18635,0.17823,0.17823,1499590,0
1985-09-10,0.17823,0.18635,0.17823,0.17823,1119695,0
1985-09-11,0.17823,0.17823,0.17011,0.17011,2219396,0
1985-09-12,0.17011,0.17823,0.17011,0.17011,1419614,0
1985-09-13,0.17011,0.17011,0.17011,0.17011,2219396,0
1985-09-16,0.17011,0.17011,0.17011,0.17011,1159683,0
1985-09-17,0.17011,0.17011,0.17011,0.17011,859765,0
1985-09-18,0.17011,0.17011,0.17011,0.17011,469870,0
1985-09-19,0.17011,0.17011,0.17011,0.17011,1249655,0
1985-09-20,0.17011,0.17011,0.17011,0.17011,919753,0
1985-09-23,0.17011,0.17011,0.17011,0.17011,999727,0
1985-09-24,0.17011,0.17011,0.17011,0.17011,939748,0
1985-09-25,0.17011,0.17011,0.17011,0.17011,1359628,0
1985-09-26,0.17011,0.17011,0.17011,0.17011,579843,0
1985-09-27,0.17011,0.17011,0.17011,0.17011,0,0
1985-09-30,0.17011,0.17823,0.17011,0.17011,1949470,0
1985-10-01,0.17011,0.17823,0.17011,0.17011,2129421,0
1985-10-02,0.17011,0.17011,0.17011,0.17011,529857,0
1985-10-03,0.17011,0.17011,0.17011,0.17011,369902,0
1985-10-04,0.17011,0.17011,0.17011,0.17011,609834,0
1985-10-07,0.17011,0.17011,0.17011,0.17011,969738,0
1985-10-08,0.17011,0.17011,0.17011,0.17011,659821,0
1985-10-09,0.17011,0.17823,0.17011,0.17011,1719532,0
1985-10-10,0.17011,0.17823,0.17011,0.17011,59982,0
1985-10-11,0.18635,0.19449,0.18635,0.18635,4888671,0
1985-10-14,0.18635,0.19449,0.18635,0.18635,1329637,0
1985-10-15,0.18635,0.20261,0.18635,0.18635,3049171,0
1985-10-16,0.19449,0.20261,0.19449,0.19449,3219124,0
1985-10-17,0.20261,0.20261,0.20261,0.20261,1809510,0
1985-10-18,0.20261,0.20261,0.20261,0.20261,3339093,0
1985-10-21,0.20261,0.20261,0.19449,0.19449,3079162,0
1985-10-22,0.20261,0.20261,0.20261,0.20261,2279381,0
1985-10-23,0.20261,0.20261,0.20261,0.20261,1109698,0
1985-10-24,0.20261,0.20261,0.19449,0.19449,1389624,0
1985-10-25,0.19449,0.20261,0.18635,0.18635,909753,0
1985-10-28,0.19449,0.20261,0.19449,0.19449,839774,0
1985-10-29,0.19449,0.19449,0.19449,0.19449,809780,0
1985-10-30,0.19449,0.19449,0.19449,0.19449,1419614,0
1985-10-31,0.20261,0.20261,0.20261,0.20261,1279650,0
1985-11-01,0.20261,0.20261,0.20261,0.20261,1909483,0
1985-11-04,0.20261,0.20261,0.20261,0.20261,1669546,0
1985-11-05,0.21885,0.21885,0.21885,0.21885,2949198,0
1985-11-06,0.21885,0.21885,0.21885,0.21885,2139419,0
1985-11-07,0.22691,0.22691,0.22691,0.22691,2439337,0
1985-11-08,0.22691,0.22691,0.22691,0.22691,3609016,0
1985-11-11,0.22691,0.22691,0.22691,0.22691,1219667,0
1985-11-12,0.22691,0.22691,0.22691,0.22691,2029448,0
1985-11-13,0.22691,0.23487,0.22691,0.22691,3449060,0
1985-11-14,0.24308,0.25121,0.24308,0.24308,3079162,0
1985-11-15,0.24308,0.24308,0.23487,0.23487,2449334,0
1985-11-18,0.24308,0.24308,0.24308,0.24308,1359628,0
1985-11-19,0.24308,0.24308,0.23487,0.23487,1659549,0
1985-11-20,0.23487,0.24308,0.23487,0.23487,2499322,0
1985-11-21,0.23487,0.23487,0.23487,0.23487,1089704,0
1985-11-22,0.23487,0.24308,0.23487,0.24308,1169680,0
1985-11-25,0.24308,0.24308,0.23487,0.23487,2799238,0
1985-11-26,0.23487,0.24308,0.23487,0.23487,1329637,0
1985-11-27,0.23487,0.24308,0.23487,0.23487,799782,0
1985-11-29,0.23487,0.25121,0.23487,0.24308,889760,0
1985-12-02,0.24308,0.25121,0.24308,0.24308,1359628,0
1985-12-03,0.24308,0.25925,0.24308,0.25925,2269381,0
1985-12-04,0.25925,0.28363,0.25925,0.27551,4938655,0
1985-12-05,0.27551,0.28363,0.26727,0.27551,2549309,0
1985-12-06,0.27551,0.28363,0.26727,0.28363,2169408,0
1985-12-09,0.28363,0.29166,0.28363,0.29166,2089433,0
1985-12-10,0.29166,0.29166,0.28363,0.28363,1499590,0
1985-12-11,0.28363,0.28363,0.27551,0.28363,2219396,0
1985-12-12,0.28363,0.28363,0.28363,0.28363,1139689,0
1985-12-13,0.28363,0.28363,0.28363,0.28363,3049171,0
1985-12-16,0.28363,0.28363,0.28363,0.28363,2129421,0
1985-12-17,0.28363,0.28363,0.28363,0.28363,3449060,0
1985-12-18,0.28363,0.28363,0.26727,0.26727,2129421,0
1985-12-19,0.26727,0.26727,0.26727,0.26727,2059440,0
1985-12-20,0.26727,0.26727,0.25925,0.25925,2419341,0
1985-12-23,0.25925,0.26727,0.25925,0.26727,4908663,0
1985-12-24,0.26727,0.26727,0.26727,0.26727,2049443,0
1985-12-26,0.26727,0.26727,0.26727,0.26727,519860,0
1985-12-27,0.26727,0.27551,0.26727,0.27551,579843,0
1985-12-30,0.27551,0.28363,0.26727,0.28363,1469599,0
1985-12-31,0.28363,0.29166,0.28363,0.29166,549851,0
1986-01-02,0.29166,0.29166,0.28363,0.29166,1779518,0
1986-01-03,0.29166,0.29987,0.29166,0.29987,719804,0
1986-01-06,0.29987,0.32401,0.29166,0.32401,3049171,0
1986-01-07,0.32401,0.32401,0.31606,0.32401,2329366,0
1986-01-08,0.32401,0.32401,0.31606,0.31606,2329366,0
