Date,Open,High,Low,Close,Volume,OpenInt
2013-11-07,27.581,27.581,26.06,26.38,1859443,0
2013-11-08,26.143,26.374,25.751,26.194,4042137,0
2013-11-11,26.343,26.765,26.055,26.38,2123777,0
2013-11-12,26.92,27.037,26.128,26.165,1688398,0
2013-11-13,25.533,25.982,25.533,25.856,1510682,0
2013-11-14,25.619,26.172,25.619,25.883,1884409,0
2013-11-15,25.907,26.143,25.879,26.029,1031576,0
2013-11-18,26.029,26.192,25.822,25.953,673892,0
2013-11-19,25.632,25.935,25.497,25.626,1954499,0
2013-11-20,25.497,25.913,25.491,25.681,2087683,0
2013-11-21,25.868,25.871,25.503,25.717,1328153,0
2013-11-22,26.311,26.575,25.948,26.575,1481988,0
2013-11-25,25.831,26.557,25.831,26.454,1643867,0
2013-11-26,26.575,26.731,26.269,26.662,534825,0
2013-11-27,26.61,27.001,26.539,26.88,406215,0
2013-11-29,26.777,27.092,26.46,26.557,489878,0
2013-12-02,26.913,27.128,26.261,27.088,843535,0
2013-12-03,26.823,26.895,26.394,26.696,727571,0
2013-12-04,26.777,26.978,26.492,26.712,398735,0
2013-12-05,26.651,27.114,26.465,26.747,735009,0
2013-12-06,26.88,27.288,26.702,27.214,845089,0
2013-12-09,27.773,28.763,27.149,28.642,3099711,0
2013-12-10,28.76,28.988,28.29,28.815,1117711,0
2013-12-11,28.446,29.909,28.446,29.263,1893452,0
2013-12-12,29.367,29.557,28.831,28.883,2252139,0
2013-12-13,29.079,29.079,28.625,28.826,824908,0
2013-12-16,28.446,29.027,28.439,28.992,610333,0
2013-12-17,28.539,29.079,28.539,28.573,952066,0
2013-12-18,28.792,28.792,28.122,28.464,7674403,0
2013-12-19,28.61,28.616,28.205,28.372,667243,0
2013-12-20,28.475,28.792,28.192,28.688,1549228,0
2013-12-23,28.678,28.792,28.439,28.74,572853,0
2013-12-24,28.613,29.067,28.527,28.988,398928,0
2013-12-26,29.143,29.143,28.821,28.93,370706,0
2013-12-27,29.027,29.07,28.366,28.635,528431,0
2013-12-30,28.439,29.137,27.935,29.067,545776,0
2013-12-31,29.225,29.517,29.097,29.26,633874,0
2014-01-02,29.166,29.697,28.988,29.04,1051254,0
2014-01-03,28.966,29.195,28.753,28.966,998469,0
2014-01-06,28.901,29.079,28.216,28.335,3416951,0
2014-01-07,28.387,29.357,28.027,28.227,3004984,0
2014-01-08,28.03,28.164,27.354,28.044,5942179,0
2014-01-09,28.462,29.283,28.384,28.727,4528180,0
2014-01-10,29.169,29.209,28.644,28.811,2032506,0
2014-01-13,28.735,28.948,28.338,28.338,2062878,0
2014-01-14,28.249,28.516,28.102,28.303,1800512,0
2014-01-15,28.232,28.796,28.102,28.211,2865338,0
2014-01-16,28.036,28.507,27.617,27.784,1147245,0
2014-01-17,27.366,27.867,27.357,27.632,814234,0
2014-01-21,27.397,27.724,27.397,27.632,464192,0
2014-01-22,27.168,27.587,27.168,27.243,743970,0
2014-01-23,27.231,27.282,26.925,26.978,762425,0
2014-01-24,26.635,26.931,26.383,26.424,955925,0
2014-01-27,26.489,27.039,26.018,26.163,1026382,0
2014-01-28,25.539,26.56,25.539,26.536,1067765,0
2014-01-29,26.224,26.574,25.761,26.027,1411360,0
2014-01-30,26.406,26.72,26.192,26.333,1751418,0
2014-01-31,25.858,26.777,25.858,26.406,2640398,0
2014-02-03,26.627,26.627,25.692,25.86,1565292,0
2014-02-04,25.851,26.338,25.683,26.241,844442,0
2014-02-05,25.912,26.543,25.874,26.286,904342,0
2014-02-06,26.352,27.473,26.333,27.373,1575298,0
2014-02-07,27.397,28.225,27.289,27.906,1086896,0
2014-02-10,28.044,28.311,27.857,28.218,938929,0
2014-02-11,28.083,28.841,28.004,28.538,1733614,0
2014-02-12,28.644,28.805,28.432,28.788,928135,0
2014-02-13,29.069,29.823,28.92,29.557,4239695,0
2014-02-14,29.565,29.565,28.894,29.182,1903157,0
2014-02-18,29.245,29.289,28.767,29.254,2223214,0
2014-02-19,29.049,29.574,28.88,29.102,2787949,0
2014-02-20,27.886,29.602,27.886,29.421,1740719,0
2014-02-21,29.452,29.817,28.827,29.095,2276267,0
2014-02-24,28.92,29.115,28.499,28.743,2284517,0
2014-02-25,28.721,28.92,28.531,28.92,1796983,0
2014-02-26,28.874,28.931,27.936,28.507,2857649,0
2014-02-27,28.538,29.095,28.232,28.834,2524389,0
2014-02-28,28.833,29.177,28.478,28.979,19485096,0
2014-03-03,28.979,29.169,28.538,28.874,2198258,0
2014-03-04,29.01,29.519,28.849,29.489,1359582,0
2014-03-05,29.405,29.765,28.972,29.496,988569,0
2014-03-06,29.699,29.889,29.241,29.72,853842,0
2014-03-07,29.542,30.152,29.542,29.875,1300349,0
2014-03-10,29.705,30.1,28.995,29.173,1029344,0
2014-03-11,28.74,29.458,28.609,28.703,971477,0
2014-03-12,28.008,28.995,27.934,28.903,609981,0
2014-03-13,28.857,28.911,28.393,28.518,340365,0
2014-03-14,28.602,29.55,28.447,28.796,1306213,0
2014-03-17,28.726,28.988,28.311,28.417,622216,0
2014-03-18,28.338,28.436,28.133,28.271,855396,0
2014-03-19,28.217,28.51,27.892,27.953,1839780,0
2014-03-20,27.885,28.032,27.705,27.962,374744,0
2014-03-21,27.731,28.224,27.699,27.953,1653723,0
2014-03-24,27.939,28.045,27.676,27.793,880474,0
2014-03-25,28.016,28.348,27.892,28.217,699764,0
2014-03-26,28.116,28.726,27.847,27.861,1376923,0
2014-03-27,27.768,28.438,27.684,28.078,777538,0
2014-03-28,28.271,28.586,27.861,27.907,557062,0
2014-03-31,28.186,28.348,28.008,28.123,564008,0
2014-04-01,28.078,28.927,28.078,28.927,1517738,0
2014-04-02,28.825,28.92,28.609,28.703,726916,0
2014-04-03,28.626,28.886,28.518,28.686,628777,0
2014-04-04,28.733,28.733,27.97,28.116,1613867,0
2014-04-07,28.062,28.273,27.544,27.608,1323231,0
2014-04-08,27.684,27.922,27.437,27.575,673119,0
2014-04-09,27.615,28.036,27.575,27.768,570005,0
2014-04-10,27.946,28.202,27.261,27.422,1182403,0
2014-04-11,27.368,27.66,27.167,27.422,533069,0
2014-04-14,27.676,27.978,27.468,27.768,466120,0
2014-04-15,27.917,27.917,27.283,27.608,829510,0
2014-04-16,27.561,28.378,27.561,28.153,1350567,0
2014-04-17,28.303,28.98,28.016,28.941,843424,0
2014-04-21,28.848,29.212,28.84,29.08,1489758,0
2014-04-22,29.304,29.699,29.22,29.566,1184723,0
2014-04-23,29.489,29.489,28.848,29.003,436905,0
2014-04-24,28.208,29.05,28.171,28.648,2128744,0
2014-04-25,28.547,28.81,27.76,27.832,1018810,0
2014-04-28,27.808,28.311,27.63,28.045,651476,0
2014-04-29,27.978,28.402,27.978,28.284,509826,0
2014-04-30,27.591,28.557,27.444,28.348,1128428,0
2014-05-01,28.417,28.425,27.892,28.107,1122296,0
2014-05-02,27.892,28.319,27.684,27.768,865739,0
2014-05-05,27.615,27.768,27.237,27.76,802485,0
2014-05-06,27.768,27.768,27.43,27.468,380649,0
2014-05-07,27.638,27.768,27.315,27.768,425689,0
2014-05-08,27.638,27.866,27.336,27.654,566281,0
2014-05-09,27.583,27.784,27.361,27.621,373432,0
2014-05-12,27.361,27.778,27.275,27.382,782541,0
2014-05-13,27.561,27.646,26.92,26.975,5682074,0
2014-05-14,27.275,27.768,26.829,26.875,2475683,0
2014-05-15,26.758,27.059,26.327,26.652,1156265,0
2014-05-16,26.658,26.935,26.495,26.912,776834,0
2014-05-19,26.782,26.88,26.457,26.549,1327772,0
2014-05-20,26.613,26.619,26.156,26.281,1155417,0
2014-05-21,26.342,26.434,26.128,26.218,1622911,0
2014-05-22,26.226,26.381,26.072,26.141,652894,0
2014-05-23,26.132,26.504,26.129,26.264,682508,0
2014-05-27,26.272,26.449,26.226,26.356,863011,0
2014-05-28,26.403,26.674,26.272,26.31,1160111,0
2014-05-29,26.289,26.356,26.055,26.102,1848876,0
2014-05-30,26.088,26.156,25.678,25.886,1623427,0
2014-06-02,25.987,26.181,25.739,25.918,1141870,0
2014-06-03,25.84,26.009,25.609,25.865,822528,0
2014-06-04,25.802,26.289,25.802,26.108,2872148,0
2014-06-05,26.128,26.481,26.088,26.149,3036341,0
2014-06-06,26.081,26.558,26.05,26.549,1915713,0
2014-06-09,26.44,26.558,26.218,26.256,1566012,0
2014-06-10,26.343,26.423,25.866,25.992,1467466,0
2014-06-11,26.031,26.225,25.786,25.881,642682,0
2014-06-12,25.849,25.999,25.613,25.803,1019996,0
2014-06-13,25.803,25.92,25.653,25.849,416375,0
2014-06-16,25.849,26.086,25.496,25.811,968380,0
2014-06-17,25.71,26.016,25.458,25.468,786181,0
2014-06-18,25.402,25.559,25.207,25.389,2030692,0
2014-06-19,25.309,25.811,25.257,25.811,1069636,0
2014-06-20,25.811,26.031,25.716,26.012,1406528,0
2014-06-23,25.832,26.005,25.701,25.913,1082580,0
2014-06-24,25.92,26.047,25.92,26.022,1163051,0
2014-06-25,25.958,26.132,25.944,26.039,806698,0
2014-06-26,25.958,26.093,25.71,25.873,632190,0
2014-06-27,25.927,26.093,25.602,26.031,2136548,0
2014-06-30,26.005,26.985,25.858,26.61,2710744,0
2014-07-01,26.75,27.44,26.585,27.337,2880376,0
2014-07-02,28.2,28.544,27.856,27.981,2413180,0
2014-07-03,28.066,28.223,27.627,27.856,508998,0
2014-07-07,27.76,27.957,27.572,27.801,724683,0
2014-07-08,27.966,27.966,27.559,27.856,627909,0
2014-07-09,27.966,28.13,27.588,27.879,1093166,0
2014-07-10,27.653,28.192,27.572,27.987,696006,0
2014-07-11,27.463,27.948,27.252,27.894,1789059,0
2014-07-14,27.941,28.003,27.142,27.252,1026084,0
2014-07-15,27.308,27.456,27.04,27.261,907877,0
2014-07-16,27.329,27.503,27.088,27.401,1090194,0
2014-07-17,27.416,27.559,27.337,27.401,826817,0
2014-07-18,27.471,27.636,27.416,27.494,491958,0
2014-07-21,27.416,27.53,27.355,27.41,576583,0
2014-07-22,27.532,28.145,27.243,28.1,4363250,0
2014-07-23,28.121,28.13,27.73,28.075,638044,0
2014-07-24,28.2,28.395,27.41,27.463,652605,0
2014-07-25,27.431,27.485,27.261,27.308,652404,0
2014-07-28,27.768,27.808,27.111,27.142,1662648,0
2014-07-29,27.808,27.823,26.882,26.985,1433389,0
2014-07-30,27.088,27.431,26.617,26.705,1430079,0
2014-07-31,26.632,26.86,26.197,26.375,1695810,0
2014-08-01,26.397,26.75,26.382,26.46,2002597,0
2014-08-04,26.844,26.875,26.453,26.814,560002,0
2014-08-05,26.789,26.985,26.248,26.35,958796,0
2014-08-06,26.328,26.343,25.866,26.052,589301,0
2014-08-07,26.093,26.555,25.97,26.059,690317,0
2014-08-08,26.179,26.179,25.694,26.005,664378,0
2014-08-11,26.289,26.289,25.905,26.107,433666,0
2014-08-12,26.311,26.367,26.086,26.256,431918,0
2014-08-13,26.335,26.68,26.296,26.68,413741,0
2014-08-14,26.57,26.914,26.562,26.743,386922,0
2014-08-15,26.882,27.002,26.68,26.978,526880,0
2014-08-18,27.072,27.135,26.789,26.852,798408,0
2014-08-19,26.86,27.006,26.594,26.632,894282,0
2014-08-20,26.303,26.632,26.281,26.382,1166912,0
2014-08-21,26.469,26.602,26.115,26.154,801379,0
2014-08-22,26.162,26.335,25.944,26.052,581488,0
2014-08-25,26.21,26.289,26.059,26.248,514292,0
2014-08-26,26.264,26.397,26.225,26.311,223812,0
2014-08-27,26.179,26.484,26.162,26.21,1658965,0
2014-08-28,26.162,26.234,25.977,26.115,570133,0
2014-08-29,26.078,26.194,25.936,26.086,876537,0
2014-09-02,26.093,26.234,25.936,26.132,2127821,0
2014-09-03,26.21,26.21,25.951,26.022,1104325,0
2014-09-04,26.059,26.148,25.936,26.115,992456,0
2014-09-05,26.132,26.234,26.022,26.21,879884,0
2014-09-08,26.243,26.734,26.15,26.546,3880535,0
2014-09-09,26.478,26.914,26.478,26.852,1316065,0
2014-09-10,26.75,26.809,25.936,26.005,1322271,0
2014-09-11,26.06,26.127,25.712,25.782,1155060,0
2014-09-12,25.768,25.918,25.003,25.028,1965775,0
2014-09-15,24.876,25.299,24.758,25.107,1787479,0
2014-09-16,24.947,25.14,24.82,25.012,938737,0
2014-09-17,24.987,25.265,24.939,25.203,1563142,0
2014-09-18,25.34,25.366,24.947,25.036,1041631,0
2014-09-19,25.076,25.325,24.996,25.14,5387428,0
2014-09-22,25.321,25.321,24.764,25.067,715935,0
2014-09-23,25.067,25.481,25.02,25.306,1298600,0
2014-09-24,25.37,25.488,25.042,25.076,572020,0
2014-09-25,25.003,25.099,24.917,24.98,1229956,0
2014-09-26,25.076,25.076,24.748,24.932,1605860,0
2014-09-29,24.782,24.965,24.571,24.829,779424,0
2014-09-30,24.861,24.861,24.479,24.591,1016424,0
2014-10-01,24.566,24.891,24.454,24.623,2432911,0
2014-10-02,24.591,24.651,23.888,24.168,1241313,0
2014-10-03,24.303,24.384,24.057,24.35,1769138,0
2014-10-06,24.358,24.66,24.256,24.525,473896,0
2014-10-07,24.591,24.623,24,24.079,790938,0
2014-10-08,23.937,24.223,23.888,24.033,1448088,0
2014-10-09,24.04,24.122,23.659,23.826,1866867,0
2014-10-10,23.779,24.271,23.667,24.033,746756,0
2014-10-13,24.088,24.392,23.897,23.922,643333,0
2014-10-14,24.073,24.582,23.969,24.535,981731,0
2014-10-15,24.439,24.829,24.271,24.665,1527042,0
2014-10-16,24.392,25.092,24.392,25.028,868027,0
2014-10-17,25.195,25.441,24.996,25.131,903221,0
2014-10-20,25.34,25.593,24.996,25.586,1141201,0
2014-10-21,25.649,25.649,25.448,25.474,609163,0
2014-10-22,25.283,25.599,25.076,25.226,1474592,0
2014-10-23,25.377,25.831,25.14,25.474,1833999,0
2014-10-24,25.53,25.544,25.265,25.448,548840,0
2014-10-27,25.377,25.744,25.314,25.736,1114845,0
