Date,Open,High,Low,Close,Volume,OpenInt
1970-01-02,3.1254,3.1254,3.092,3.1254,29448,0
1970-01-05,3.1254,3.1339,3.1004,3.1254,38447,0
1970-01-06,3.1254,3.1588,3.1087,3.1588,33540,0
1970-01-07,3.1671,3.2503,3.1671,3.2337,88350,0
1970-01-08,3.2254,3.2254,3.1838,3.2254,26177,0
1970-01-09,3.2004,3.2004,3.1504,3.1504,18814,0
1970-01-12,3.1588,3.2084,3.1588,3.2084,44177,0
1970-01-13,3.2084,3.2589,3.2004,3.2004,33540,0
1970-01-14,3.2004,3.2254,3.1838,3.2254,32720,0
1970-01-15,3.2254,3.2337,3.2254,3.2254,17177,0
1970-01-16,3.2254,3.2423,3.1588,3.1588,21273,0
1970-01-19,3.1588,3.1671,3.1171,3.1671,112075,0
1970-01-20,3.1671,3.1838,3.1339,3.1838,41721,0
1970-01-21,3.1752,3.1752,3.1339,3.142,58083,0
1970-01-22,3.142,3.1588,3.142,3.142,27811,0
1970-01-23,3.1671,3.2173,3.1671,3.1671,48268,0
1970-01-26,3.1588,3.1588,3.1254,3.1254,76086,0
1970-01-27,3.1254,3.1254,3.092,3.1087,41721,0
1970-01-28,3.1087,3.1339,3.0671,3.0671,31900,0
1970-01-29,3.0419,3.0419,2.9337,2.9337,83444,0
1970-01-30,2.9337,2.9839,2.9337,2.9839,35176,0
1970-02-02,2.9587,2.9587,2.9587,2.9587,8182,0
1970-02-03,2.9587,3.0254,2.9504,3.0171,26994,0
1970-02-04,3.0171,3.092,3.0171,3.0171,49903,0
1970-02-05,3.0171,3.0419,2.9839,3.0254,31900,0
1970-02-06,3.0254,3.0254,3.0088,3.0254,20450,0
1970-02-09,3.0338,3.1339,3.0338,3.1087,91623,0
1970-02-10,3.1087,3.1339,3.0671,3.092,27811,0
1970-02-11,3.1004,3.1838,3.1004,3.1838,35996,0
1970-02-12,3.1838,3.2004,3.1671,3.1671,9817,0
1970-02-13,3.1671,3.2337,3.1671,3.2254,70353,0
1970-02-16,3.2254,3.2503,3.2004,3.2503,27811,0
1970-02-17,3.2503,3.2921,3.2503,3.2838,51540,0
1970-02-18,3.2921,3.3257,3.2921,3.3257,26994,0
1970-02-19,3.3257,3.3672,3.3257,3.3502,62172,0
1970-02-20,3.3672,3.4089,3.3672,3.3837,148889,0
1970-02-24,3.3837,3.3922,3.3502,3.3672,41721,0
1970-02-25,3.3672,3.4171,3.3672,3.4171,66263,0
1970-02-26,3.4089,3.4089,3.3837,3.3837,108805,0
1970-02-27,3.3837,3.4339,3.3837,3.4253,45809,0
1970-03-02,3.4253,3.442,3.4171,3.4339,135799,0
1970-03-03,3.442,3.4754,3.442,3.4754,53994,0
1970-03-04,3.4754,3.4924,3.4754,3.4924,67901,0
1970-03-05,3.5089,3.5338,3.5089,3.5338,43357,0
1970-03-06,3.5338,3.5338,3.5003,3.5089,31085,0
1970-03-09,3.4754,3.4754,3.4171,3.4171,31085,0
1970-03-10,3.4171,3.442,3.4089,3.4089,35996,0
1970-03-11,3.4089,3.4253,3.3837,3.4171,46627,0
1970-03-12,3.4171,3.4171,3.4089,3.4171,32720,0
1970-03-13,3.4171,3.4171,3.4003,3.4089,26994,0
1970-03-16,3.4089,3.4089,3.3837,3.3837,69535,0
1970-03-17,3.3502,3.3502,3.3257,3.3257,43357,0
1970-03-18,3.3257,3.3672,3.3257,3.3502,70353,0
1970-03-19,3.3502,3.3922,3.3422,3.3422,128435,0
1970-03-20,3.3422,3.3502,3.2921,3.2921,30269,0
1970-03-23,3.2921,3.3003,3.2921,3.2921,46627,0
1970-03-24,3.3003,3.3755,3.3003,3.3502,49085,0
1970-03-25,3.3672,3.4089,3.3672,3.3837,70353,0
1970-03-26,3.3837,3.4339,3.3588,3.4089,99805,0
1970-03-30,3.4089,3.4089,3.3588,3.3588,47446,0
1970-03-31,3.3672,3.4089,3.3672,3.3837,35176,0
1970-04-01,3.3837,3.4003,3.3672,3.3837,59716,0
1970-04-02,3.3837,3.4089,3.3837,3.4089,18814,0
1970-04-03,3.4089,3.4587,3.3837,3.4171,159525,0
1970-04-06,3.4171,3.4171,3.3837,3.4171,49903,0
1970-04-07,3.4089,3.4089,3.3837,3.3837,17177,0
1970-04-08,3.3837,3.4089,3.3672,3.3837,20450,0
1970-04-09,3.3837,3.4003,3.3837,3.3837,40904,0
1970-04-10,3.3755,3.3755,3.317,3.3257,39264,0
1970-04-13,3.3257,3.3502,3.2921,3.2921,60540,0
1970-04-14,3.2921,3.3003,3.2921,3.2921,17997,0
1970-04-15,3.2921,3.3003,3.2755,3.3003,16357,0
1970-04-16,3.3003,3.3257,3.2921,3.2921,36811,0
1970-04-17,3.2755,3.2755,3.2755,3.2755,20450,0
1970-04-20,3.2589,3.2589,3.2337,3.2423,105532,0
1970-04-21,3.2423,3.2671,3.2337,3.2503,275688,0
1970-04-22,3.2503,3.2921,3.2503,3.2503,43357,0
1970-04-23,3.2423,3.2423,3.2004,3.2004,148889,0
1970-04-24,3.1838,3.1838,3.1339,3.1339,13087,0
1970-04-27,3.1087,3.1087,3.0671,3.0671,44990,0
1970-04-28,3.0671,3.0754,2.9839,2.9839,75262,0
1970-04-29,2.9839,3.0338,2.9587,3.0338,50721,0
1970-04-30,3.0338,3.0419,3.0003,3.0003,17177,0
1970-05-01,3.0003,3.0003,2.9752,3.0003,31085,0
1970-05-04,3.0003,3.0003,2.9752,2.9839,20450,0
1970-05-05,2.9839,3.0003,2.9587,2.9839,16357,0
1970-05-06,2.9839,3.0003,2.9839,2.9839,31900,0
1970-05-07,2.9839,3.0171,2.9752,3.0171,49085,0
1970-05-08,3.0003,3.0003,2.9672,2.9672,18814,0
1970-05-11,2.9672,2.9839,2.9504,2.9504,26177,0
1970-05-12,2.9337,2.9337,2.8921,2.9337,31085,0
1970-05-13,2.9252,2.9252,2.8423,2.8587,71991,0
1970-05-14,2.8423,2.8423,2.8002,2.8002,54812,0
1970-05-15,2.8002,2.8002,2.7255,2.7421,112075,0
1970-05-18,2.7421,2.7837,2.7255,2.7255,28632,0
1970-05-19,2.7255,2.7421,2.6837,2.6837,22088,0
1970-05-20,2.6837,2.692,2.6504,2.6504,28632,0
1970-05-21,2.6169,2.6169,2.5586,2.5586,35176,0
1970-05-22,2.5586,2.5672,2.5004,2.5004,126801,0
1970-05-25,2.4754,2.4754,2.4086,2.4086,48268,0
1970-05-26,2.4086,2.4671,2.3837,2.4252,42537,0
1970-05-27,2.4252,2.542,2.3837,2.5252,103078,0
1970-05-28,2.5252,2.6504,2.5252,2.6504,49903,0
1970-05-29,2.6504,2.7504,2.6255,2.7504,18814,0
1970-06-01,2.8337,2.9252,2.8337,2.9252,85078,0
1970-06-02,2.9252,2.9252,2.8838,2.8838,39264,0
1970-06-03,2.8838,2.9003,2.8838,2.9003,4908,0
1970-06-04,2.9003,2.9088,2.8587,2.8587,17177,0
1970-06-05,2.8169,2.8169,2.7255,2.7754,52359,0
1970-06-08,2.7754,2.8002,2.7504,2.8002,23723,0
1970-06-09,2.7754,2.7754,2.7504,2.7669,38447,0
1970-06-10,2.7585,2.7585,2.7585,2.7585,8998,0
1970-06-11,2.7585,2.7754,2.7504,2.7504,19632,0
1970-06-12,2.7504,2.7669,2.7255,2.7669,15544,0
1970-06-15,2.792,2.8256,2.792,2.8002,26994,0
1970-06-16,2.8002,2.8256,2.8002,2.8256,12269,0
