Date,Open,High,Low,Close,Volume,OpenInt
2006-05-24,3.7624,3.7624,3.7624,3.7624,0,0
2006-05-25,3.8876,4.4422,3.878,4.4375,409820636,0
2006-05-26,4.4663,4.5089,4.255,4.3344,106817514,0
2006-05-30,4.3382,4.3391,4.1336,4.2447,51725297,0
2006-05-31,4.2785,4.3759,4.2785,4.3354,31100701,0
2006-06-01,4.3344,4.64,4.3315,4.5833,64627074,0
2006-06-02,4.6786,4.6979,4.5138,4.5329,38617217,0
2006-06-05,4.5387,4.7509,4.5339,4.7412,38549849,0
2006-06-06,4.8216,4.8842,4.6111,4.6595,50841074,0
2006-06-07,4.6623,4.6691,4.5099,4.5918,25928974,0
2006-06-08,4.5918,4.6034,4.3892,4.6034,35700168,0
2006-06-09,4.7075,4.7075,4.5995,4.6092,13861676,0
2006-06-12,4.6303,4.6546,4.4663,4.5292,15078684,0
2006-06-13,4.4568,4.5678,4.37,4.3892,17328132,0
2006-06-14,4.3315,4.3846,4.2872,4.3527,16555878,0
2006-06-15,4.3797,4.4491,4.3536,4.4329,17104225,0
2006-06-16,4.3892,4.4375,4.341,4.343,12729711,0
2006-06-19,4.3846,4.3846,4.254,4.2775,11930463,0
2006-06-20,4.3159,4.341,4.1935,4.2467,24663279,0
2006-06-21,4.2467,4.426,4.2447,4.37,18724466,0
2006-06-22,4.4762,4.5292,4.426,4.4953,13515455,0
2006-06-23,4.5329,4.6237,4.5216,4.5292,12037244,0
2006-06-26,4.5292,4.5823,4.479,4.5823,8878649,0
2006-06-27,4.5823,4.6332,4.5581,4.5641,10186883,0
2006-06-28,4.5196,4.5725,4.4857,4.53,9076643,0
2006-06-29,4.5292,4.6391,4.5292,4.6303,15000940,0
2006-06-30,4.5965,4.6303,4.4953,4.6303,26914811,0
2006-07-03,4.6208,4.6303,4.5157,4.5631,7286416,0
2006-07-05,4.5725,4.615,4.506,4.5918,13751794,0
2006-07-06,4.5581,4.5678,4.5138,4.5147,8393528,0
2006-07-07,4.5099,4.5196,4.4133,4.4491,8686870,0
2006-07-10,4.4568,4.4925,4.4491,4.4848,5160302,0
2006-07-11,4.4848,4.4848,4.37,4.4713,8374839,0
2006-07-12,4.4762,4.4762,4.393,4.394,7952978,0
2006-07-13,4.3581,4.3581,4.2735,4.3139,17233822,0
2006-07-14,4.3042,4.3101,4.2352,4.2399,10016872,0
2006-07-17,4.2362,4.2608,4.2205,4.2437,6694483,0
2006-07-18,4.2437,4.254,4.2126,4.2352,12940146,0
2006-07-19,4.2362,4.3846,4.2254,4.368,16420061,0
2006-07-20,4.3797,4.4162,4.3507,4.394,9152325,0
2006-07-21,4.394,4.394,4.3188,4.368,8822676,0
2006-07-24,4.3846,4.3921,4.3401,4.341,5200728,0
2006-07-25,4.3601,4.4762,4.3563,4.4451,7152685,0
2006-07-26,4.4511,4.616,4.4181,4.5031,10716581,0
2006-07-27,4.5243,4.5504,4.4876,4.4876,6229061,0
2006-07-28,4.4866,4.5147,4.4626,4.4663,4497909,0
2006-07-31,4.4663,4.4771,4.424,4.425,4786079,0
2006-08-01,4.43,4.43,4.312,4.341,7675145,0
2006-08-02,4.6295,4.8282,4.5641,4.8253,55328594,0
2006-08-03,4.7393,4.8464,4.6931,4.8225,22484293,0
2006-08-04,4.8522,4.9681,4.8225,4.8282,14736603,0
2006-08-07,4.8717,4.9487,4.8474,4.9297,7171342,0
2006-08-08,4.9297,5.0808,4.9248,5.0712,14588364,0
2006-08-09,5.1128,5.2573,5.0162,5.0983,15593897,0
2006-08-10,5.0357,5.2006,5.0259,5.1667,9044497,0
2006-08-11,5.1609,5.2528,5.1369,5.1784,9410424,0
2006-08-14,5.1853,5.2612,5.1629,5.2314,6545210,0
2006-08-15,5.2767,5.2991,5.2344,5.2565,8874510,0
2006-08-16,5.2717,5.3471,5.2246,5.2354,15905897,0
