Date,Open,High,Low,Close,Volume,OpenInt
1982-01-04,0.5243,0.5324,0.5169,0.5169,4176469,0
1982-01-05,0.5169,0.5169,0.5089,0.5089,7494341,0
1982-01-06,0.5009,0.5169,0.49294,0.5169,16681350,0
1982-01-07,0.5243,0.5324,0.5169,0.5243,26205667,0
1982-01-08,0.5324,0.54,0.5243,0.5324,22575014,0
1982-01-11,0.5243,0.5243,0.5169,0.5169,6335233,0
1982-01-12,0.5169,0.5243,0.5089,0.5169,8555326,0
1982-01-13,0.5169,0.5243,0.5089,0.5089,9659238,0
1982-01-14,0.5089,0.5089,0.5089,0.5089,8095360,0
1982-01-15,0.5089,0.5169,0.5089,0.5089,5513433,0
1982-01-18,0.5169,0.5243,0.5089,0.5243,18631596,0
1982-01-19,0.5169,0.5243,0.5169,0.5169,16994126,0
1982-01-20,0.5169,0.5243,0.5169,0.5169,4697760,0
1982-01-21,0.5243,0.5324,0.5243,0.5324,8677981,0
1982-01-22,0.5324,0.5324,0.5243,0.5324,15221729,0
1982-01-25,0.5243,0.5243,0.5169,0.5243,8561456,0
1982-01-26,0.5243,0.5324,0.5243,0.5324,14406062,0
1982-01-27,0.5324,0.54,0.5324,0.5324,11542018,0
1982-01-28,0.5478,0.5557,0.54,0.5557,20318131,0
1982-01-29,0.5557,0.5636,0.5557,0.5557,17239439,0
1982-02-01,0.5478,0.5557,0.5478,0.5478,10425841,0
1982-02-02,0.5478,0.5557,0.54,0.54,9794157,0
1982-02-03,0.5478,0.5478,0.54,0.54,6844261,0
1982-02-04,0.5478,0.5478,0.54,0.5478,6396565,0
1982-02-05,0.5636,0.5791,0.5557,0.5713,19208085,0
1982-02-08,0.5636,0.5636,0.5557,0.5557,17956983,0
1982-02-09,0.5478,0.5557,0.5478,0.5478,15528374,0
1982-02-10,0.5557,0.5557,0.5478,0.5478,7580202,0
1982-02-11,0.5557,0.5557,0.5478,0.5557,6635744,0
1982-02-12,0.5557,0.5557,0.5557,0.5557,5353976,0
1982-02-16,0.5557,0.5636,0.5478,0.5636,7978835,0
1982-02-17,0.5713,0.5791,0.5636,0.5713,12425151,0
1982-02-18,0.5791,0.5791,0.5713,0.5791,32614491,0
1982-02-19,0.5713,0.5791,0.5636,0.5713,22464628,0
1982-02-22,0.5636,0.5713,0.5478,0.5478,18318820,0
1982-02-23,0.54,0.5478,0.5324,0.54,20023753,0
1982-02-24,0.5478,0.5557,0.5324,0.5557,38232180,0
1982-02-25,0.5557,0.5636,0.5478,0.5557,12688864,0
1982-02-26,0.5478,0.5557,0.5478,0.5557,3814633,0
1982-03-01,0.5557,0.5557,0.5478,0.5478,5255851,0
1982-03-02,0.5557,0.5557,0.5478,0.5478,10438108,0
1982-03-03,0.54,0.5478,0.5324,0.5324,11542018,0
1982-03-04,0.5169,0.5243,0.5089,0.5169,20704499,0
1982-03-05,0.5169,0.5243,0.5089,0.5089,20305865,0
1982-03-08,0.5089,0.5169,0.5009,0.5089,14663642,0
1982-03-09,0.5089,0.5169,0.5009,0.5169,16313378,0
1982-03-10,0.5243,0.5243,0.5169,0.5169,5507299,0
1982-03-11,0.5169,0.5169,0.5169,0.5169,6028592,0
1982-03-12,0.5089,0.5169,0.5089,0.5169,21710289,0
1982-03-15,0.5089,0.5089,0.5089,0.5089,10714088,0
1982-03-16,0.5089,0.5089,0.5089,0.5089,8248686,0
1982-03-17,0.5009,0.5089,0.5009,0.5009,28106845,0
1982-03-18,0.5089,0.5243,0.5009,0.5169,24825774,0
1982-03-19,0.5243,0.5324,0.5169,0.5324,12639802,0
