Date,Open,High,Low,Close,Volume,OpenInt
1992-06-26,0.30025,0.31388,0.29119,0.30486,246597602,0
1992-06-29,0.30928,0.33204,0.30486,0.32755,64554605,0
1992-06-30,0.33204,0.33662,0.31388,0.31388,38224879,0
1992-07-01,0.31844,0.32755,0.30928,0.32302,20132424,0
1992-07-02,0.32755,0.32755,0.31388,0.32302,15384206,0
1992-07-06,0.31844,0.32302,0.31388,0.32302,6323918,0
1992-07-07,0.32302,0.32302,0.31388,0.32302,11719296,0
1992-07-08,0.32302,0.32302,0.31388,0.31388,17037297,0
1992-07-09,0.31844,0.32755,0.31388,0.32755,4312079,0
1992-07-10,0.32755,0.33204,0.31844,0.32755,12134322,0
1992-07-13,0.32755,0.33662,0.32755,0.33662,6591229,0
1992-07-14,0.33662,0.35031,0.33204,0.33662,18753687,0
1992-07-15,0.34125,0.35031,0.33662,0.35031,5486829,0
1992-07-16,0.35031,0.37753,0.34572,0.36847,18753687,0
1992-07-17,0.373,0.40035,0.36398,0.39119,17220194,0
1992-07-20,0.38671,0.40035,0.37753,0.39119,21701089,0
1992-07-21,0.40035,0.40487,0.39119,0.40035,8553818,0
1992-07-22,0.39119,0.40035,0.3821,0.39119,11972530,0
1992-07-23,0.39119,0.40487,0.38671,0.40487,11416819,0
1992-07-24,0.39119,0.40943,0.39119,0.40487,7751898,0
1992-07-27,0.40943,0.4231,0.40487,0.41399,12563423,0
1992-07-28,0.41853,0.4231,0.39119,0.40035,19794781,0
1992-07-29,0.40035,0.40035,0.36847,0.37753,33905764,0
1992-07-30,0.373,0.37753,0.36847,0.37753,12901071,0
1992-07-31,0.37753,0.37753,0.36847,0.37753,7569004,0
1992-08-03,0.373,0.38671,0.373,0.3821,5310964,0
1992-08-04,0.3821,0.39119,0.373,0.38671,7498662,0
1992-08-05,0.38671,0.38671,0.36847,0.373,10460138,0
1992-08-06,0.36847,0.373,0.36398,0.373,4037745,0
1992-08-07,0.373,0.38671,0.36398,0.38671,9700424,0
1992-08-10,0.37753,0.39119,0.37753,0.38671,6471635,0
1992-08-11,0.39119,0.39119,0.3821,0.39119,4558287,0
1992-08-12,0.3821,0.38671,0.36847,0.373,13998440,0
1992-08-13,0.373,0.37753,0.36847,0.373,53109654,0
1992-08-14,0.36847,0.37753,0.35031,0.35477,19618917,0
