Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,79.143,79.419,77.312,78.349,1489022,0
2005-02-28,78.714,79.322,77.19,78.989,1444587,0
2005-03-01,79.184,80.748,78.892,80.351,1721445,0
2005-03-02,80.302,83.73,80.01,82.344,3513290,0
2005-03-03,82.904,85.092,81.931,82.652,3245079,0
2005-03-04,83.633,85.789,82.92,85.1,3122889,0
2005-03-07,85.092,90.327,84.848,89.087,5743875,0
2005-03-08,88.584,91.931,87.896,88.528,4188300,0
2005-03-09,88.568,92.191,87.385,90.489,6556312,0
2005-03-10,90.44,91.121,88.544,90.854,4111143,0
2005-03-11,98.277,104.44,96.283,102.92,19042049,0
2005-03-14,103.23,104.93,101.75,104.34,7317211,0
2005-03-15,104.83,108.47,104.31,105.9,8849707,0
2005-03-16,104.95,105.22,101.7,102.22,4027929,0
2005-03-17,102.19,102.92,100.89,100.98,2974768,0
2005-03-18,102.92,103.56,100.91,101.45,2483475,0
2005-03-21,101.79,104.34,101.16,104.33,3918539,0
2005-03-22,105.9,106.18,102.92,103.04,4521053,0
2005-03-23,103.03,103.35,99.095,101.16,5426286,0
2005-03-24,101.42,107.56,101.15,107.39,19077203,0
2005-03-28,106.2,111.83,104.46,106.25,4361957,0
2005-03-29,106.45,107.69,104.31,105.03,5043124,0
2005-03-30,105.2,105.5,102.03,105.35,4971751,0
2005-03-31,105.91,109.36,105.83,107.92,5963113,0
2005-04-01,108.96,112.44,107.05,109.72,7344820,0
2005-04-04,110.34,118.12,109.77,117.75,11146299,0
2005-04-05,117.83,121.15,114.88,115.55,11282725,0
2005-04-06,116.79,116.87,111.05,112.18,9947153,0
2005-04-07,113.14,116.13,109.91,112.43,6686185,0
2005-04-08,113.27,116.37,113.16,115.13,5335656,0
2005-04-11,116.25,120.55,115.61,119.1,7951809,0
2005-04-12,119.27,120.21,116.75,119.44,6675052,0
2005-04-13,119.3,120.15,117.55,118.5,4513588,0
2005-04-14,118.03,118.52,111.51,113.76,7459841,0
2005-04-15,113.41,114.65,108.85,109.33,6686886,0
2005-04-18,109.2,111.58,108.09,110,5753865,0
2005-04-19,110.63,113.05,109.57,112.95,3337086,0
2005-04-20,112.81,113.36,107.3,107.99,3762337,0
2005-04-21,109.42,111.63,104.34,111.46,7681202,0
2005-04-22,110.86,111.02,105.52,106.19,4441375,0
2005-04-25,107.13,110.02,106.57,109.21,2773329,0
2005-04-26,109.16,113.58,108.61,112.01,4785212,0
2005-04-27,111.15,111.92,108.84,108.88,3688395,0
2005-04-28,108.5,110.48,107.78,109.31,2439747,0
2005-04-29,110.69,111.67,106.85,109.6,4301351,0
2005-05-02,109,110.71,108.67,109.74,1850646,0
2005-05-03,109.89,114.03,109.56,112.89,4391904,0
2005-05-04,111.31,114.43,110.08,113.48,4543171,0
2005-05-05,115.36,116.58,113.12,115.43,4495850,0
2005-05-06,117.05,118.03,115.93,117.26,4245621,0
2005-05-09,118.07,118.52,116.24,118.21,3119757,0
2005-05-10,117.4,117.42,113.71,114.1,3591926,0
2005-05-11,114.54,115.71,111.57,115.63,4357177,0
2005-05-12,113.94,114.44,110.19,112.19,5134938,0
2005-05-13,112.06,112.82,108.87,111.13,4690618,0
2005-05-16,111.31,111.73,109.13,111.42,3124661,0
2005-05-17,110.5,111.88,109.78,110.26,2894874,0
2005-05-18,111.02,116.3,110.87,116.1,6829426,0
2005-05-19,115.58,117.2,114.43,115.98,3747081,0
2005-05-20,116.06,116.28,113.94,115.75,2446983,0
2005-05-23,115.75,121.68,115.75,120.1,5505743,0
2005-05-24,119.94,121.9,118.37,121.26,4322260,0
2005-05-25,121.25,121.29,118.8,119.9,2212384,0
2005-05-26,121.04,123.4,119.03,119.53,4187852,0
2005-05-27,120.55,121.11,119.61,120.91,1768591,0
2005-05-31,121.73,122.01,118.48,118.73,2308474,0
2005-06-01,119.23,122.7,118.73,120.14,3215822,0
2005-06-02,119.94,127.43,119.94,126.84,6773296,0
2005-06-03,125.81,128.77,124.47,124.87,3780194,0
2005-06-06,125.57,126.35,123.35,125.54,2044076,0
2005-06-07,119.25,121.1,113.74,114.67,12722676,0
2005-06-08,113.6,115.84,109.82,113.2,8899745,0
2005-06-09,113.92,115.4,112.47,113.78,3754641,0
2005-06-10,114.09,114.63,110.58,111.02,3287125,0
2005-06-13,109.69,110.96,107.98,109.08,4955757,0
2005-06-14,109.2,112.46,108.94,112.45,3967198,0
2005-06-15,115.93,119.61,115.5,119.49,9369657,0
2005-06-16,124.24,124.53,121.29,122.65,9128090,0
2005-06-17,121.18,123.16,119.59,121.77,7270001,0
2005-06-20,120.5,126.87,118.93,125.96,6237562,0
2005-06-21,125.65,127.39,123.96,124.6,4876109,0
2005-06-22,125.73,126.32,122.91,123.96,3772844,0
2005-06-23,125.85,126.24,121.2,121.61,4728906,0
2005-06-24,121.96,122.21,119.74,119.95,3451234,0
2005-06-27,118.97,121.44,117.74,119.73,2611934,0
2005-06-28,121.1,125.69,120.71,124.83,6375640,0
2005-06-29,124.49,125.08,121.98,122.39,3828883,0
2005-06-30,123.1,124.27,121.24,121.45,3218718,0
2005-07-01,124.56,124.84,122.67,122.98,3510525,0
2005-07-05,123.97,126.83,123.3,124.69,4214058,0
2005-07-06,124.87,125.53,121.65,121.84,2780596,0
2005-07-07,121.03,122.74,120.36,121.61,3211714,0
2005-07-08,122.22,123.79,120.43,123.25,3104345,0
2005-07-11,123.67,126.8,123.67,125.78,4409624,0
2005-07-12,125.76,131.08,124.61,127.54,10597647,0
2005-07-13,128.02,129.19,126.88,128.13,3018467,0
2005-07-14,129.54,130.06,126.87,128.16,2814100,0
2005-07-15,128.37,128.79,126.51,127.63,2123486,0
2005-07-18,127.31,130.51,126.88,128.91,3005481,0
2005-07-19,129.48,130.43,127.93,128.42,1641408,0
2005-07-20,128.41,132.5,127.35,132.18,3721896,0
2005-07-21,131.2,131.75,128.93,129.19,3843464,0
2005-07-22,129.51,130.92,127.56,129.36,1723612,0
2005-07-25,129.4,130.63,128.12,128.4,1330370,0
2005-07-26,128.76,128.85,125.38,125.52,2426708,0
2005-07-27,127.15,127.65,123.67,127.32,3366653,0
2005-07-28,127.13,128.03,125.89,126.82,1640223,0
2005-07-29,126.66,128.21,124.61,125.29,1765566,0
2005-08-01,125.07,126.02,123.97,124.1,1732222,0
2005-08-02,124.65,126.34,122.37,125.61,2103750,0
2005-08-03,125.19,125.52,122.18,123.37,2414901,0
2005-08-04,122.44,123.1,120.42,120.66,2959512,0
2005-08-05,120.48,121.44,116.76,118.78,3380232,0
2005-08-08,118.54,119.23,114.72,115.28,2811099,0
2005-08-09,115.58,117.18,115.4,115.86,1907705,0
2005-08-10,116.72,118.91,114.93,115.99,3291477,0
2005-08-11,115.97,117.05,114.67,115.85,1723973,0
2005-08-12,115.17,118.25,113.71,118.25,3092276,0
2005-08-15,117.44,118.13,115.94,117.42,1819852,0
2005-08-16,116.36,116.58,110.8,111.15,5044598,0
2005-08-17,111.15,112.82,110.37,111.42,4061083,0
2005-08-18,110.72,113.17,109.12,112.45,3551691,0
2005-08-19,112.8,112.8,109.24,109.52,3050247,0
2005-08-22,109.89,112,108.33,110.62,3486439,0
2005-08-23,110.67,113.76,110.22,113.39,3883697,0
2005-08-24,112.4,113.85,111.36,111.52,2708082,0
2005-08-25,111.62,113.41,110.35,111.89,2001042,0
2005-08-26,111.82,111.83,109.82,109.83,1555602,0
2005-08-29,109.4,112.24,108.6,112.02,2480558,0
2005-08-30,110.77,111.94,108.04,109.63,3539408,0
