Date,Open,High,Low,Close,Volume,OpenInt
1984-07-19,1.0535,1.0558,1.0469,1.0469,53021818,0
1984-07-20,1.0573,1.064,1.0506,1.0551,87833943,0
1984-07-23,1.0506,1.0596,1.0418,1.0551,186833219,0
1984-07-24,1.0588,1.0702,1.0569,1.0633,87411480,0
1984-07-25,1.0583,1.0826,1.0563,1.0716,103673698,0
1984-07-26,1.076,1.0982,1.0694,1.0716,279051593,0
1984-07-27,1.0639,1.0639,1.0551,1.0551,58975336,0
1984-07-30,1.0528,1.0618,1.0485,1.0551,66125923,0
1984-07-31,1.0563,1.0716,1.0542,1.0716,60068159,0
1984-08-01,1.0734,1.1047,1.0714,1.1047,160206566,0
1984-08-02,1.0977,1.1485,1.0712,1.1376,217085932,0
1984-08-03,1.1338,1.147,1.1206,1.1294,174970455,0
1984-08-06,1.1228,1.1228,1.0964,1.0964,168227606,0
1984-08-07,1.0943,1.1097,1.0918,1.0964,197950756,0
1984-08-08,1.0948,1.0992,1.0883,1.0883,114134710,0
1984-08-09,1.0958,1.1111,1.0936,1.1047,83286221,0
1984-08-10,1.1083,1.1219,1.1083,1.113,131066071,0
1984-08-13,1.113,1.1149,1.104,1.113,70777032,0
1984-08-14,1.1023,1.1111,1.1023,1.1047,63684559,0
1984-08-15,1.1025,1.1156,1.1001,1.1047,90168321,0
1984-08-16,1.104,1.1174,1.1019,1.113,42222627,0
1984-08-17,1.1149,1.1219,1.104,1.113,47432791,0
1984-08-20,1.1057,1.1212,1.1057,1.1212,85612856,0
1984-08-21,1.1201,1.1443,1.1178,1.1376,142595036,0
1984-08-22,1.1352,1.142,1.1331,1.1376,51780722,0
1984-08-23,1.1314,1.1336,1.127,1.1294,73714830,0
1984-08-24,1.1254,1.1254,1.1188,1.1212,194927600,0
1984-08-27,1.1212,1.1276,1.1166,1.1212,45250134,0
1984-08-28,1.1189,1.1255,1.1189,1.1212,38063046,0
1984-08-29,1.1212,1.1278,1.1212,1.1212,70144756,0
1984-08-30,1.1188,1.1232,1.1166,1.1212,48642197,0
1984-08-31,1.1166,1.1212,1.1166,1.1212,64707178,0
1984-09-04,1.1233,1.1255,1.1189,1.1212,27554766,0
1984-09-05,1.1174,1.1196,1.113,1.113,92835647,0
1984-09-06,1.1145,1.1255,1.1123,1.1212,517521484,0
1984-09-07,1.1279,1.1302,1.1212,1.1212,48000809,0
1984-09-10,1.1123,1.1233,1.1102,1.1212,335566530,0
1984-09-11,1.113,1.1173,1.113,1.113,281350778,0
1984-09-12,1.1166,1.1232,1.1166,1.1212,29443115,0
1984-09-13,1.1227,1.1338,1.116,1.1294,503712173,0
1984-09-14,1.1398,1.142,1.1331,1.1376,97304138,0
1984-09-17,1.1352,1.1441,1.1309,1.1376,458774483,0
1984-09-18,1.142,1.1443,1.1376,1.1376,67368124,0
1984-09-19,1.1325,1.1547,1.1304,1.1459,587455874,0
1984-09-20,1.1453,1.1629,1.143,1.1542,235047769,0
1984-09-21,1.1578,1.169,1.1578,1.1622,983703969,0
1984-09-24,1.1644,1.1715,1.1622,1.1622,249746664,0
1984-09-25,1.1577,1.1668,1.151,1.1622,57485885,0
1984-09-26,1.1602,1.1691,1.1577,1.1622,48846386,0
1984-09-27,1.1646,1.1691,1.1602,1.1622,135839473,0
1984-09-28,1.1683,1.1729,1.1661,1.1707,60681285,0
1984-10-01,1.1707,1.1748,1.1683,1.1707,147264737,0
1984-10-02,1.1683,1.1729,1.1661,1.1707,147927195,0
1984-10-03,1.1668,1.1668,1.1622,1.1622,65726631,0
1984-10-04,1.1646,1.1646,1.1602,1.1622,35754225,0
1984-10-05,1.1608,1.163,1.1519,1.1542,78992043,0
1984-10-08,1.1569,1.1569,1.1437,1.1459,21480387,0
1984-10-09,1.1503,1.1549,1.1434,1.1459,38565081,0
1984-10-10,1.1459,1.1481,1.1413,1.1459,64108655,0
1984-10-11,1.1519,1.1587,1.1494,1.1542,52234695,0
1984-10-12,1.1534,1.1644,1.1534,1.1622,63994803,0
1984-10-15,1.1688,1.1892,1.1666,1.187,134483631,0
1984-10-16,1.1862,1.1953,1.1862,1.1953,84615031,0
1984-10-17,1.19,1.208,1.1875,1.2038,61296932,0
1984-10-18,1.2145,1.2308,1.2124,1.2283,118228893,0
1984-10-19,1.24,1.2539,1.2358,1.2447,125333732,0
1984-10-22,1.2418,1.2443,1.226,1.2283,50726361,0
1984-10-23,1.2211,1.2211,1.1757,1.187,256789699,0
1984-10-24,1.1842,1.1862,1.1707,1.1707,164389795,0
1984-10-25,1.1815,1.1976,1.1772,1.1953,211636975,0
1984-10-26,1.1892,1.1917,1.1848,1.187,77935617,0
1984-10-29,1.1804,1.187,1.1757,1.187,79206122,0
1984-10-30,1.1824,1.1917,1.1801,1.187,87338212,0
1984-10-31,1.1824,1.1917,1.1801,1.187,92767879,0
1984-11-01,1.1824,1.1917,1.1824,1.187,124087800,0
1984-11-02,1.1802,1.1917,1.1802,1.187,104155681,0
1984-11-05,1.185,1.1937,1.185,1.187,91544764,0
1984-11-06,1.1816,1.1978,1.1816,1.1953,131265541,0
1984-11-07,1.2045,1.2063,1.1928,1.1953,113836043,0
1984-11-08,1.1917,1.1936,1.1824,1.187,64626301,0
1984-11-09,1.1856,1.1923,1.179,1.179,84557782,0
1984-11-12,1.1748,1.1748,1.1707,1.1707,33717565,0
1984-11-13,1.1691,1.1715,1.1602,1.1622,39210024,0
1984-11-14,1.1622,1.1646,1.1536,1.1622,113709067,0
1984-11-15,1.1697,1.1833,1.1697,1.179,136627161,0
1984-11-16,1.179,1.1833,1.1765,1.179,128198361,0
1984-11-19,1.1775,1.1795,1.1707,1.1707,90310035,0
1984-11-20,1.1801,1.187,1.1781,1.187,87536858,0
1984-11-21,1.1804,1.1917,1.1782,1.187,61795072,0
1984-11-23,1.1907,1.2245,1.1907,1.2199,85431160,0
1984-11-26,1.2245,1.2291,1.2178,1.2199,126347488,0
1984-11-27,1.2238,1.2351,1.2217,1.2283,129179800,0
1984-11-28,1.2325,1.2554,1.2283,1.2283,195943002,0
1984-11-29,1.2268,1.2313,1.218,1.2199,114042411,0
1984-11-30,1.2148,1.2148,1.2038,1.2038,73731904,0
1984-12-03,1.2097,1.2142,1.207,1.2118,62247591,0
1984-12-04,1.2056,1.2103,1.2038,1.2038,56956416,0
1984-12-05,1.2056,1.208,1.2038,1.2038,64250019,0
1984-12-06,1.2038,1.2125,1.2038,1.2038,48336701,0
1984-12-07,1.1953,1.2021,1.193,1.1953,30917367,0
1984-12-10,1.1988,1.2038,1.1923,1.2038,63436010,0
1984-12-11,1.2097,1.2142,1.207,1.2118,38540529,0
1984-12-12,1.208,1.2105,1.2013,1.2038,75193258,0
1984-12-13,1.1988,1.2105,1.1988,1.2038,70742770,0
1984-12-14,1.1995,1.2245,1.1995,1.2199,70437393,0
1984-12-17,1.2245,1.2447,1.2245,1.2447,123560654,0
1984-12-18,1.2622,1.2799,1.2573,1.2778,183837922,0
1984-12-19,1.2778,1.2912,1.2778,1.2778,90965954,0
1984-12-20,1.2773,1.2861,1.259,1.2613,99584516,0
1984-12-21,1.2588,1.2703,1.2588,1.2613,133670226,0
1984-12-24,1.2673,1.2739,1.2673,1.2697,53947133,0
1984-12-26,1.2671,1.2697,1.2648,1.2697,20125933,0
1984-12-27,1.2697,1.2716,1.2628,1.2697,33601356,0
1984-12-28,1.2718,1.2739,1.2673,1.2697,43547904,0
1984-12-31,1.2641,1.2823,1.2641,1.2778,322467336,0
1985-01-02,1.2778,1.2778,1.273,1.2778,89836358,0
1985-01-03,1.2697,1.2763,1.2671,1.2697,435639823,0
1985-01-04,1.2729,1.2892,1.2707,1.2778,492469544,0
1985-01-07,1.2834,1.2834,1.2697,1.2697,385638352,0
1985-01-08,1.2637,1.2703,1.2613,1.2613,310188013,0
1985-01-09,1.2613,1.2656,1.2566,1.2613,682922877,0
1985-01-10,1.2628,1.2902,1.2603,1.2697,250770436,0
1985-01-11,1.2647,1.2717,1.2626,1.2697,104500584,0
1985-01-14,1.2687,1.2823,1.2687,1.2778,105099239,0
1985-01-15,1.2729,1.2798,1.2707,1.2778,139181831,0
1985-01-16,1.274,1.274,1.267,1.2697,85117640,0
1985-01-17,1.274,1.2765,1.2697,1.2697,60633735,0
1985-01-18,1.2697,1.2717,1.2647,1.2697,59788889,0
1985-01-21,1.267,1.2717,1.2647,1.2697,51788050,0
1985-01-22,1.274,1.2765,1.2647,1.2697,158245601,0
1985-01-23,1.2628,1.2718,1.2628,1.2697,79814262,0
1985-01-24,1.2718,1.2786,1.2672,1.2697,173495123,0
1985-01-25,1.2701,1.2905,1.2676,1.2859,230220800,0
1985-01-28,1.2863,1.3141,1.284,1.3023,160451724,0
1985-01-29,1.3007,1.3214,1.2983,1.3188,94354710,0
1985-01-30,1.3217,1.3514,1.3191,1.3353,156290987,0
1985-01-31,1.3343,1.3505,1.3321,1.3437,95898639,0
1985-02-01,1.3338,1.341,1.3226,1.327,51494850,0
1985-02-04,1.3261,1.3378,1.3261,1.3353,102969051,0
1985-02-05,1.3353,1.3378,1.3261,1.3353,104981685,0
1985-02-06,1.3286,1.3448,1.3261,1.3353,130518367,0
1985-02-07,1.339,1.3507,1.339,1.3437,111675818,0
1985-02-08,1.3414,1.3483,1.339,1.3437,127294814,0
1985-02-11,1.3413,1.3459,1.339,1.3437,38595589,0
1985-02-12,1.3499,1.3684,1.3499,1.3684,46019435,0
1985-02-13,1.3642,1.3896,1.3619,1.3847,104653304,0
1985-02-14,1.3904,1.3928,1.3744,1.3766,78250133,0
1985-02-15,1.3744,1.3835,1.3744,1.3766,77079311,0
1985-02-19,1.3789,1.3814,1.3766,1.3766,45676567,0
1985-02-20,1.3791,1.3835,1.372,1.3766,47678596,0
1985-02-21,1.3752,1.3774,1.3684,1.3684,27087093,0
1985-02-22,1.3692,1.3713,1.3414,1.3437,55707751,0
1985-02-25,1.3459,1.3483,1.3367,1.3437,90181106,0
1985-02-26,1.3477,1.3684,1.343,1.3684,108158671,0
1985-02-27,1.3649,1.3858,1.3629,1.3766,44744506,0
1985-02-28,1.367,1.3694,1.3601,1.3601,67898753,0
1985-03-01,1.3616,1.3754,1.3571,1.3684,74349018,0
1985-03-04,1.3754,1.3754,1.3638,1.3684,60514256,0
1985-03-05,1.3636,1.3656,1.3519,1.3519,101792165,0
1985-03-06,1.3515,1.3515,1.3331,1.3353,51943953,0
1985-03-07,1.3323,1.3483,1.33,1.3437,85219655,0
1985-03-08,1.3459,1.3528,1.3437,1.3437,43271338,0
1985-03-11,1.339,1.3483,1.339,1.3437,39567933,0
1985-03-12,1.3462,1.3671,1.3441,1.3601,40595003,0
1985-03-13,1.3555,1.3626,1.3509,1.3601,25873512,0
1985-03-14,1.351,1.3647,1.3487,1.3601,38258336,0
1985-03-15,1.3684,1.373,1.3638,1.3684,68173523,0
1985-03-18,1.373,1.3774,1.3658,1.3684,50853411,0
1985-03-19,1.3706,1.373,1.3658,1.3684,33077508,0
1985-03-20,1.3647,1.3647,1.3577,1.3601,24939735,0
1985-03-21,1.3589,1.3706,1.3546,1.3684,79242768,0
1985-03-22,1.3791,1.3835,1.3651,1.3766,88397284,0
1985-03-25,1.3754,1.3774,1.3638,1.3684,33019593,0
1985-03-26,1.3684,1.3706,1.3589,1.3684,99883653,0
1985-03-27,1.372,1.3789,1.3696,1.3766,46432978,0
1985-03-28,1.373,1.3754,1.3684,1.3684,54144334,0
1985-03-29,1.3674,1.3834,1.3649,1.3766,122629523,0
1985-04-01,1.3756,1.3847,1.3733,1.3847,46034412,0
1985-04-02,1.3898,1.4013,1.3898,1.4013,319124550,0
1985-04-03,1.3964,1.3964,1.3847,1.3847,110107962,0
1985-04-04,1.3778,1.3875,1.3686,1.3847,54023405,0
1985-04-08,1.3791,1.3907,1.3766,1.3766,38693511,0
1985-04-09,1.3789,1.3814,1.3719,1.3766,41489163,0
1985-04-10,1.3743,1.3978,1.3743,1.3931,99581590,0
1985-04-11,1.4024,1.4163,1.4024,1.4094,61230026,0
1985-04-12,1.4107,1.4201,1.4083,1.4179,71967629,0
1985-04-15,1.4155,1.4249,1.411,1.4179,54017112,0
1985-04-16,1.4272,1.4367,1.4249,1.4343,108894218,0
1985-04-17,1.4427,1.4427,1.4194,1.4261,64352468,0
1985-04-18,1.4273,1.4295,1.4152,1.4179,43753771,0
1985-04-19,1.4094,1.4123,1.4027,1.4094,104302359,0
1985-04-22,1.4094,1.4143,1.4094,1.4094,64997044,0
1985-04-23,1.4093,1.4283,1.4093,1.4261,144309075,0
1985-04-24,1.4367,1.4391,1.4272,1.4343,75721989,0
1985-04-25,1.4391,1.4697,1.437,1.4672,61582507,0
1985-04-26,1.4662,1.4683,1.452,1.4592,43342908,0
1985-04-29,1.4507,1.4507,1.432,1.4343,67330002,0
1985-04-30,1.4413,1.4462,1.4133,1.4179,230423792,0
1985-05-01,1.4133,1.4154,1.3847,1.3847,114315527,0
1985-05-02,1.3874,1.4013,1.3874,1.4013,57096710,0
1985-05-03,1.3918,1.4036,1.3874,1.4013,35013079,0
1985-05-06,1.4036,1.4062,1.4013,1.4013,36363267,0
1985-05-07,1.4013,1.4036,1.3966,1.4013,48903091,0
1985-05-08,1.4027,1.4166,1.4027,1.4094,55892248,0
1985-05-09,1.4083,1.4223,1.4083,1.4179,68737415,0
