Date,Open,High,Low,Close,Volume,OpenInt
2005-11-17,1.625,1.625,1.625,1.625,0,0
2005-11-18,3.875,3.875,3.0488,3.1625,143706400,0
2005-11-21,3.2538,3.3688,3.1875,3.2688,33676544,0
2005-11-22,3.1875,3.2312,2.8438,2.9375,25755200,0
2005-11-23,2.9925,3.0125,2.9388,2.975,8252840,0
2005-11-25,2.9775,3,2.9375,2.96,2330352,0
2005-11-28,2.96,3.025,2.9475,2.9625,6485080,0
2005-11-29,2.945,2.9562,2.635,2.6688,16241256,0
2005-11-30,2.6662,2.8388,2.6588,2.8138,6432048,0
2005-12-01,2.855,2.9662,2.825,2.8938,5836568,0
2005-12-02,2.9638,3.125,2.9062,3.0825,9434112,0
2005-12-05,3.14,3.2375,3.0688,3.2075,5654256,0
2005-12-06,3.2575,3.27,3.065,3.0875,4617192,0
2005-12-07,3.1138,3.2062,3.1138,3.2062,3522960,0
2005-12-08,3.1875,3.235,3.1625,3.1875,1992120,0
2005-12-09,3.2,3.23,3.1,3.125,1599368,0
2005-12-12,3.125,3.1975,3.0938,3.1862,2622528,0
2005-12-13,3.22,3.2375,3.1562,3.1988,2138248,0
2005-12-14,3.25,3.4062,3.2338,3.375,8248760,0
2005-12-15,3.375,3.4562,3.35,3.4238,4249784,0
2005-12-16,3.4225,3.455,3.3138,3.455,8036064,0
2005-12-19,3.4488,3.45,3.1438,3.3112,7167528,0
2005-12-20,3.4425,3.5362,3.3562,3.5088,11580704,0
2005-12-21,3.5175,3.6,3.4862,3.5688,9884472,0
2005-12-22,3.5725,3.6038,3.4988,3.5875,4285048,0
2005-12-23,3.5875,3.965,3.5688,3.9025,15113256,0
2005-12-27,3.9875,4.365,3.94,4.1575,33194328,0
2005-12-28,4.2512,4.5925,4.2125,4.5438,29345472,0
2005-12-29,4.869,5,4.785,4.9825,36187176,0
2005-12-30,4.954,4.9675,4.6512,4.789,29359128,0
2006-01-03,4.6488,4.6738,4.1475,4.17,32669176,0
2006-01-04,4.0925,4.1488,3.91,3.95,30123608,0
2006-01-05,4.065,4.4625,4.0212,4.4538,28607656,0
2006-01-06,4.4,4.5462,4.2062,4.4338,22223160,0
2006-01-09,4.4912,4.4962,4.3463,4.4788,8510184,0
2006-01-10,4.5225,4.811,4.4425,4.6875,23743760,0
2006-01-11,4.785,4.819,4.5625,4.7112,10365208,0
2006-01-12,4.6425,4.925,4.6425,4.814,12392304,0
2006-01-13,4.851,5.0425,4.814,4.8775,8646608,0
2006-01-17,4.895,4.926,4.6312,4.771,7461864,0
2006-01-18,4.5825,4.944,4.5625,4.819,8063472,0
2006-01-19,4.7875,4.9625,4.775,4.8475,5007632,0
2006-01-20,4.869,4.906,4.6875,4.785,5362752,0
2006-01-23,4.775,4.8125,4.5612,4.665,7585608,0
2006-01-24,4.6662,4.7312,4.5688,4.5875,5939976,0
2006-01-25,4.575,4.7188,4.3475,4.6075,6545168,0
2006-01-26,4.6075,4.831,4.6075,4.6938,5156360,0
2006-01-27,4.7312,4.875,4.6625,4.795,3277312,0
2006-01-30,4.799,5.2375,4.7387,5.0375,18109488,0
