Date,Open,High,Low,Close,Volume,OpenInt
1972-03-20,0.03403,0.03403,0.03403,0.03403,3132119,0
1972-03-22,0.03403,0.04251,0.03403,0.03403,1084194,0
1972-03-23,0.03403,0.04251,0.03403,0.03403,783030,0
1972-03-24,0.03403,0.04251,0.03403,0.03403,1264892,0
1972-03-27,0.04251,0.04251,0.04251,0.04251,1385361,0
1972-03-28,0.04251,0.04251,0.04251,0.04251,1746756,0
1972-03-29,0.04251,0.04251,0.04251,0.04251,1566055,0
1972-03-30,0.04251,0.04251,0.04251,0.04251,1505825,0
1972-04-03,0.04251,0.04251,0.03403,0.03403,481866,0
1972-04-04,0.03403,0.04251,0.03403,0.03403,481866,0
1972-04-05,0.03403,0.03403,0.03403,0.03403,361397,0
1972-04-06,0.03403,0.03403,0.03403,0.03403,903496,0
1972-04-07,0.03403,0.03403,0.03403,0.03403,1566055,0
1972-04-10,0.03403,0.03403,0.03403,0.03403,421630,0
1972-04-11,0.03403,0.03403,0.03403,0.03403,1325125,0
1972-04-12,0.03403,0.03403,0.03403,0.03403,421630,0
1972-04-13,0.03403,0.03403,0.03403,0.03403,602329,0
1972-05-08,0.03403,0.03403,0.03403,0.03403,10179378,0
1972-05-11,0.03403,0.03403,0.03403,0.03403,5782366,0
1972-05-12,0.03403,0.03403,0.03403,0.03403,3734444,0
1972-05-15,0.03403,0.03403,0.03403,0.03403,13974056,0
1972-05-16,0.03403,0.03403,0.03403,0.03403,5300502,0
1972-05-17,0.03403,0.03403,0.03403,0.03403,4216307,0
1972-05-18,0.03403,0.03403,0.03403,0.03403,4276542,0
1972-05-19,0.04251,0.04251,0.04251,0.04251,8432623,0
1972-05-22,0.04251,0.04251,0.04251,0.04251,3915145,0
1972-05-23,0.04251,0.04251,0.04251,0.04251,6444931,0
1972-05-24,0.04251,0.04251,0.04251,0.04251,8974718,0
1972-05-25,0.04251,0.04251,0.04251,0.04251,3734444,0
1972-05-26,0.04251,0.04251,0.04251,0.04251,5842599,0
1972-05-30,0.04251,0.04251,0.04251,0.04251,2168389,0
1972-05-31,0.04251,0.04251,0.04251,0.04251,11444272,0
1972-06-01,0.04251,0.04251,0.04251,0.04251,3011648,0
1972-06-02,0.04251,0.04251,0.04251,0.04251,1566055,0
1972-06-05,0.04251,0.04251,0.04251,0.04251,4818639,0
1972-06-06,0.04251,0.04251,0.04251,0.04251,6384696,0
1972-06-07,0.04251,0.04251,0.04251,0.04251,1927453,0
1972-06-08,0.04251,0.04251,0.04251,0.04251,1686526,0
1972-06-09,0.04251,0.04251,0.04251,0.04251,5360739,0
1972-06-12,0.04251,0.04251,0.04251,0.04251,2349087,0
1972-06-13,0.04251,0.04251,0.04251,0.04251,2409320,0
1972-06-14,0.04251,0.04251,0.04251,0.04251,5902833,0
1972-06-15,0.04251,0.04251,0.04251,0.04251,1325125,0
1972-06-16,0.04251,0.04251,0.04251,0.04251,6143767,0
1972-06-19,0.04251,0.04251,0.04251,0.04251,662565,0
1972-06-20,0.04251,0.04251,0.04251,0.04251,2770717,0
1972-06-21,0.04251,0.04251,0.04251,0.04251,1867224,0
1972-06-22,0.04251,0.04251,0.04251,0.04251,481866,0
1972-06-23,0.04251,0.04251,0.04251,0.04251,8312153,0
1972-06-26,0.04251,0.04251,0.04251,0.04251,2349087,0
1972-06-27,0.04251,0.04251,0.04251,0.04251,2770717,0
1972-06-28,0.04251,0.04251,0.04251,0.04251,7830290,0
1972-06-29,0.04251,0.04251,0.04251,0.04251,4577708,0
1972-06-30,0.04251,0.04251,0.04251,0.04251,1806990,0
1972-07-03,0.04251,0.04251,0.04251,0.04251,1626290,0
1972-07-05,0.04251,0.04251,0.04251,0.04251,3613980,0
1972-07-06,0.04251,0.04251,0.04251,0.04251,1385361,0
1972-07-07,0.04251,0.04251,0.04251,0.04251,4035610,0
1972-07-10,0.04251,0.04251,0.04251,0.04251,1385361,0
1972-07-11,0.04251,0.04251,0.04251,0.04251,240933,0
1972-07-12,0.04251,0.04251,0.04251,0.04251,1325125,0
1972-07-13,0.04251,0.04251,0.04251,0.04251,2228619,0
1972-07-14,0.04251,0.04251,0.04251,0.04251,361397,0
1972-07-17,0.04251,0.04251,0.04251,0.04251,903496,0
1972-07-18,0.04251,0.04251,0.04251,0.04251,1626290,0
1972-07-19,0.04251,0.04251,0.04251,0.04251,4216307,0
1972-07-20,0.04251,0.04251,0.04251,0.04251,1686526,0
1972-07-21,0.04251,0.04251,0.04251,0.04251,2349087,0
1972-07-24,0.04251,0.04251,0.04251,0.04251,14877553,0
1972-07-25,0.04251,0.04251,0.04251,0.04251,3132119,0
1972-07-26,0.04251,0.04251,0.04251,0.04251,421630,0
1972-07-27,0.04251,0.04251,0.04251,0.04251,361397,0
1972-07-28,0.04251,0.04251,0.04251,0.04251,1023963,0
1972-07-31,0.04251,0.04251,0.04251,0.04251,1566055,0
1972-08-01,0.04251,0.04251,0.04251,0.04251,1566055,0
1972-08-02,0.04251,0.04251,0.04251,0.04251,64509546,0
1972-08-03,0.04251,0.04251,0.04251,0.04251,4517476,0
1972-08-04,0.04251,0.04251,0.04251,0.04251,4758406,0
1972-08-07,0.04251,0.04251,0.04251,0.04251,2529786,0
1972-08-08,0.04251,0.04251,0.04251,0.04251,1686526,0
1972-08-09,0.04251,0.04251,0.04251,0.04251,4457244,0
1972-08-10,0.04251,0.04251,0.04251,0.04251,2529786,0
1972-08-11,0.04251,0.04251,0.04251,0.04251,3493514,0
1972-08-14,0.04251,0.04251,0.04251,0.04251,3674212,0
1972-08-15,0.04251,0.04251,0.04251,0.04251,4276542,0
1972-08-16,0.04251,0.04251,0.04251,0.04251,4758406,0
1972-08-17,0.04251,0.04251,0.04251,0.04251,3854915,0
1972-08-18,0.04251,0.04251,0.04251,0.04251,1264892,0
1972-08-21,0.04251,0.04251,0.04251,0.04251,6384696,0
1972-08-22,0.04251,0.05101,0.04251,0.04251,3252582,0
1972-08-23,0.04251,0.05101,0.04251,0.04251,1626290,0
1972-08-24,0.04251,0.04251,0.04251,0.04251,4397012,0
1972-08-25,0.04251,0.04251,0.04251,0.04251,2951416,0
1972-08-28,0.04251,0.04251,0.04251,0.04251,1144431,0
1972-08-29,0.04251,0.04251,0.04251,0.04251,2288851,0
1972-08-30,0.04251,0.04251,0.04251,0.04251,481866,0
1972-08-31,0.04251,0.04251,0.04251,0.04251,1023963,0
1972-09-01,0.04251,0.04251,0.04251,0.04251,301162,0
1972-09-05,0.04251,0.04251,0.04251,0.04251,662565,0
1972-09-06,0.04251,0.04251,0.04251,0.04251,301162,0
1972-09-07,0.04251,0.04251,0.04251,0.04251,1385361,0
1972-09-08,0.04251,0.04251,0.04251,0.04251,783030,0
1972-09-11,0.04251,0.04251,0.04251,0.04251,1084194,0
1972-09-12,0.04251,0.04251,0.04251,0.04251,722794,0
1972-09-13,0.04251,0.04251,0.04251,0.04251,180697,0
1972-09-14,0.04251,0.04251,0.04251,0.04251,1505825,0
1972-09-15,0.04251,0.04251,0.04251,0.04251,602329,0
1972-09-18,0.04251,0.04251,0.04251,0.04251,1264892,0
1972-09-19,0.04251,0.04251,0.04251,0.04251,3674212,0
1972-09-20,0.04251,0.04251,0.04251,0.04251,60232,0
1972-09-21,0.04251,0.04251,0.04251,0.04251,1686526,0
1972-09-22,0.04251,0.04251,0.04251,0.04251,1023963,0
1972-09-25,0.04251,0.04251,0.04251,0.04251,1144431,0
1972-09-26,0.04251,0.04251,0.04251,0.04251,843262,0
1972-09-27,0.04251,0.04251,0.04251,0.04251,783030,0
1972-09-28,0.04251,0.04251,0.04251,0.04251,1686526,0
1972-09-29,0.04251,0.04251,0.04251,0.04251,301162,0
1972-10-02,0.04251,0.04251,0.04251,0.04251,1927453,0
1972-10-03,0.04251,0.04251,0.04251,0.04251,602329,0
1972-10-04,0.04251,0.04251,0.04251,0.04251,1806990,0
1972-10-05,0.04251,0.04251,0.04251,0.04251,1626290,0
1972-10-06,0.04251,0.04251,0.04251,0.04251,11504502,0
1972-10-09,0.04251,0.04251,0.04251,0.04251,1505825,0
1972-10-11,0.04251,0.04251,0.04251,0.04251,542096,0
1972-10-12,0.04251,0.04251,0.04251,0.04251,421630,0
1972-10-13,0.04251,0.04251,0.04251,0.04251,60232,0
1972-10-16,0.04251,0.04251,0.04251,0.04251,783030,0
1972-10-17,0.04251,0.04251,0.04251,0.04251,2891185,0
1972-10-18,0.04251,0.04251,0.04251,0.04251,9155418,0
1972-10-19,0.04251,0.04251,0.04251,0.04251,12468231,0
1972-10-20,0.04251,0.04251,0.04251,0.04251,60232,0
1972-10-23,0.04251,0.04251,0.04251,0.04251,542096,0
1972-10-24,0.04251,0.04251,0.04251,0.04251,120467,0
1972-10-25,0.04251,0.04251,0.04251,0.04251,1445594,0
1972-10-26,0.04251,0.04251,0.04251,0.04251,60232,0
1972-10-27,0.04251,0.04251,0.04251,0.04251,240933,0
1972-10-30,0.04251,0.04251,0.04251,0.04251,1566055,0
1972-10-31,0.04251,0.04251,0.04251,0.04251,843262,0
1972-11-01,0.04251,0.05101,0.04251,0.05101,2650254,0
1972-11-02,0.05101,0.05101,0.05101,0.05101,843262,0
1972-11-03,0.05101,0.05101,0.05101,0.05101,1686526,0
1972-11-06,0.05101,0.05101,0.05101,0.05101,180697,0
1972-11-08,0.05101,0.05101,0.05101,0.05101,843262,0
1972-11-09,0.05101,0.05101,0.05101,0.05101,963725,0
1972-11-13,0.05101,0.05101,0.05101,0.05101,481866,0
1972-11-14,0.05101,0.05101,0.05101,0.05101,180697,0
1972-11-15,0.05101,0.05101,0.04251,0.04251,662565,0
1972-11-16,0.04251,0.05101,0.04251,0.05101,722794,0
1972-11-17,0.05101,0.05101,0.04251,0.04251,1626290,0
1972-11-20,0.04251,0.05101,0.04251,0.04251,180697,0
1972-11-21,0.04251,0.05101,0.04251,0.05101,662565,0
1972-11-22,0.05101,0.05101,0.05101,0.05101,542096,0
1972-11-24,0.05101,0.05101,0.05101,0.05101,421630,0
1972-11-27,0.05101,0.05101,0.05101,0.05101,7348427,0
1972-11-28,0.05101,0.05101,0.05101,0.05101,4095843,0
1972-11-29,0.05101,0.05101,0.04251,0.04251,4216307,0
