Date,Open,High,Low,Close,Volume,OpenInt
1970-01-02,1.4972,1.4972,1.4893,1.4972,1459617,0
1970-01-05,1.4972,1.5297,1.4972,1.5297,2338570,0
1970-01-06,1.5297,1.5297,1.5055,1.5216,1531212,0
1970-01-07,1.5216,1.5216,1.5138,1.5138,1141448,0
1970-01-08,1.5138,1.5297,1.5055,1.5138,1336326,0
1970-01-09,1.5138,1.5216,1.5138,1.5216,1332350,0
1970-01-12,1.5216,1.5297,1.5138,1.5138,1109626,0
1970-01-13,1.5138,1.5216,1.5055,1.5055,1551092,0
1970-01-14,1.5055,1.5055,1.4972,1.5055,1650520,0
1970-01-15,1.5055,1.5055,1.4893,1.4893,1499393,0
1970-01-16,1.4893,1.4972,1.4893,1.4972,1368142,0
1970-01-19,1.4972,1.4972,1.4893,1.4972,870999,0
1970-01-20,1.4972,1.5055,1.4893,1.4893,1543139,0
1970-01-21,1.4893,1.4972,1.4893,1.4893,1045993,0
1970-01-22,1.4893,1.4893,1.4813,1.4813,1718132,0
1970-01-23,1.4813,1.4813,1.4569,1.4569,2334594,0
1970-01-26,1.4569,1.4649,1.4569,1.4649,1296558,0
1970-01-27,1.4569,1.4569,1.4409,1.4569,2553338,0
1970-01-28,1.4569,1.4569,1.4083,1.4083,1849381,0
1970-01-29,1.3922,1.3922,1.3761,1.3761,1924947,0
1970-01-30,1.3761,1.3761,1.3597,1.3678,2700493,0
1970-02-02,1.3678,1.3678,1.3597,1.3597,3424339,0
1970-02-03,1.3597,1.3922,1.3517,1.3841,3197638,0
1970-02-04,1.3841,1.3841,1.3761,1.3841,2489705,0
1970-02-05,1.3841,1.3841,1.3761,1.3761,2084033,0
1970-02-06,1.3597,1.3597,1.3435,1.3435,2032330,0
1970-02-09,1.3435,1.3517,1.3354,1.3354,1738019,0
1970-02-10,1.3354,1.3354,1.2788,1.287,3452180,0
1970-02-11,1.287,1.2949,1.2707,1.2949,2879468,0
1970-02-12,1.2949,1.2949,1.2465,1.2627,3245365,0
1970-02-13,1.2627,1.2707,1.2465,1.2627,2959008,0
1970-02-16,1.2304,1.2304,1.2141,1.222,4347040,0
1970-02-17,1.222,1.222,1.2059,1.2141,3826031,0
1970-02-18,1.2304,1.287,1.2304,1.2788,5516328,0
1970-02-19,1.2949,1.3192,1.2949,1.2949,4195905,0
1970-02-20,1.2949,1.3354,1.287,1.3354,5568036,0
1970-02-24,1.3354,1.3761,1.3274,1.3274,4661238,0
1970-02-25,1.3274,1.3517,1.287,1.3517,5929952,0
1970-02-26,1.3354,1.3354,1.3032,1.3114,4605556,0
1970-02-27,1.3114,1.3274,1.3114,1.3114,5142474,0
1970-03-02,1.3114,1.3274,1.2949,1.2949,6347554,0
1970-03-03,1.2949,1.3032,1.2788,1.287,6403234,0
1970-03-04,1.287,1.3032,1.287,1.2949,6013470,0
1970-03-05,1.2949,1.3192,1.2949,1.3114,6104949,0
1970-03-06,1.3032,1.3032,1.287,1.2949,5941881,0
1970-03-09,1.2949,1.2949,1.2788,1.2788,9569059,0
1970-03-10,1.2788,1.3114,1.2707,1.3032,7306050,0
1970-03-11,1.3192,1.3354,1.3192,1.3274,4522038,0
1970-03-12,1.3274,1.3274,1.3114,1.3192,3531723,0
1970-03-13,1.3192,1.3192,1.3114,1.3192,3209572,0
1970-03-16,1.3192,1.3192,1.3032,1.3192,2521521,0
1970-03-17,1.3192,1.3192,1.3114,1.3192,1889153,0
1970-03-18,1.3192,1.3517,1.3192,1.3354,2434025,0
1970-03-19,1.3354,1.3435,1.3274,1.3354,2366417,0
1970-03-20,1.3354,1.3354,1.3274,1.3354,1563024,0
1970-03-23,1.3354,1.3435,1.3274,1.3354,1157354,0
1970-03-24,1.3354,1.3597,1.3354,1.3597,1181217,0
1970-03-25,1.3597,1.3922,1.3597,1.3841,3380589,0
1970-03-26,1.3841,1.3922,1.3841,1.3922,2402207,0
1970-03-30,1.3922,1.4003,1.3841,1.4003,1893127,0
1970-03-31,1.3922,1.3922,1.3841,1.3841,2147670,0
1970-04-01,1.3922,1.3922,1.3922,1.3922,1451665,0
1970-04-02,1.3922,1.4003,1.3841,1.3922,2068127,0
1970-04-03,1.3922,1.4003,1.3841,1.4003,1515298,0
1970-04-06,1.3922,1.3922,1.3841,1.3922,1368142,0
1970-04-07,1.3922,1.3922,1.3597,1.3597,2756175,0
1970-04-08,1.3597,1.3678,1.3435,1.3597,1121563,0
1970-04-09,1.3597,1.3761,1.3597,1.3678,1113607,0
1970-04-10,1.3678,1.3678,1.3597,1.3597,1173265,0
1970-04-13,1.3597,1.3597,1.3517,1.3517,1344285,0
1970-04-14,1.3517,1.3597,1.3354,1.3517,1459617,0
1970-04-15,1.3517,1.3597,1.3517,1.3597,930660,0
